id,start_time,end_time,duration_bars,quality,compression,upper_r2,lower_r2,containment,pivots_high,pivots_low,breakout_dir,breakout_price,bars_to_breakout
121,2023-09-15 09:20:00,2023-09-15 10:30:00,15,0.806,0.529,1.0,1.0,0.933,2,2,up,20167.65,5
122,2023-09-15 12:10:00,2023-09-15 13:40:00,19,0.792,0.665,1.0,1.0,1.0,2,2,up,20180.0,4
123,2023-09-18 09:15:00,2023-09-18 10:45:00,19,0.833,0.351,1.0,1.0,0.947,2,2,down,20173.15,3
124,2023-09-25 13:45:00,2023-09-26 10:30:00,37,0.737,0.726,0.742,0.989,0.892,4,3,down,19670.15,5
125,2023-10-05 10:25:00,2023-10-05 12:00:00,20,0.788,0.584,1.0,1.0,0.9,2,2,down,19554.8,2
126,2023-10-09 10:25:00,2023-10-09 11:45:00,17,0.794,0.594,1.0,1.0,0.941,2,2,down,19558.9,1
127,2023-10-11 09:50:00,2023-10-11 11:35:00,22,0.795,0.605,1.0,1.0,0.955,2,2,up,19817.8,5
128,2023-10-13 09:45:00,2023-10-13 12:10:00,30,0.651,0.762,0.622,1.0,0.867,3,2,up,19704.0,2
129,2023-10-13 15:00:00,2023-10-16 11:10:00,30,0.779,0.616,0.907,1.0,0.933,3,2,up,19773.25,6
130,2023-10-17 10:05:00,2023-10-17 11:20:00,16,0.768,0.658,1.0,1.0,0.875,2,2,down,19829.0,2
131,2023-10-19 09:30:00,2023-10-19 11:00:00,19,0.786,0.609,1.0,0.95,0.895,2,3,up,19640.85,5
132,2023-10-20 09:20:00,2023-10-20 10:45:00,18,0.819,0.556,0.993,1.0,0.944,3,2,up,19567.25,5
133,2023-10-20 12:50:00,2023-10-20 14:20:00,19,0.768,0.601,1.0,1.0,1.0,2,2,down,19538.05,7
134,2023-10-25 13:35:00,2023-10-25 14:50:00,16,0.775,0.751,1.0,1.0,1.0,2,2,down,19123.25,3
135,2023-10-31 15:20:00,2023-11-01 10:15:00,15,0.706,0.732,1.0,1.0,0.933,2,2,up,19049.7,5
136,2023-11-01 09:45:00,2023-11-01 10:55:00,15,0.778,0.522,1.0,1.0,0.933,2,2,down,19037.55,2
137,2023-11-01 13:10:00,2023-11-01 14:55:00,22,0.786,0.65,1.0,1.0,0.955,2,2,down,18992.5,1
138,2023-11-02 09:15:00,2023-11-02 11:15:00,25,0.821,0.481,1.0,1.0,0.96,2,2,down,19091.55,5
139,2023-11-06 15:10:00,2023-11-07 10:05:00,15,0.788,0.687,1.0,1.0,1.0,2,2,up,19366.2,1
140,2023-11-08 09:20:00,2023-11-08 10:50:00,19,0.778,0.723,1.0,1.0,0.895,3,2,down,19408.2,4
141,2023-11-13 09:15:00,2023-11-13 10:50:00,20,0.803,0.508,1.0,1.0,0.9,2,2,up,19424.25,3
142,2023-11-17 09:15:00,2023-11-17 10:40:00,18,0.834,0.457,1.0,1.0,1.0,2,2,down,19789.75,3
143,2023-11-21 09:15:00,2023-11-21 10:55:00,21,0.822,0.517,1.0,1.0,1.0,2,2,up,19782.05,4
144,2023-11-21 12:45:00,2023-11-21 14:35:00,23,0.8,0.623,1.0,1.0,1.0,2,2,down,19783.65,7
145,2023-11-23 09:55:00,2023-11-23 11:05:00,15,0.797,0.638,1.0,1.0,1.0,2,2,up,19813.05,4
146,2023-11-28 11:25:00,2023-11-28 13:35:00,27,0.705,0.791,1.0,1.0,1.0,2,2,down,19818.2,4
147,2023-11-30 09:25:00,2023-11-30 11:40:00,28,0.817,0.401,1.0,0.939,0.857,2,3,down,20062.8,4
148,2023-12-04 09:15:00,2023-12-04 12:05:00,35,0.86,0.345,0.996,0.984,0.857,3,3,up,20582.65,1
149,2023-12-05 11:00:00,2023-12-05 13:00:00,25,0.807,0.551,1.0,1.0,0.96,2,2,down,20799.0,4
150,2023-12-06 09:25:00,2023-12-06 11:00:00,20,0.829,0.482,1.0,1.0,1.0,2,2,up,20938.95,8
151,2023-12-06 10:45:00,2023-12-06 11:55:00,15,0.786,0.63,1.0,1.0,0.933,2,2,down,20915.35,6
152,2023-12-07 10:20:00,2023-12-07 12:45:00,30,0.802,0.579,0.957,1.0,0.933,3,2,down,20909.75,3
153,2023-12-11 10:20:00,2023-12-11 11:30:00,15,0.793,0.529,1.0,1.0,0.867,2,2,down,20983.7,1
154,2023-12-12 09:55:00,2023-12-12 11:35:00,21,0.806,0.538,1.0,1.0,1.0,2,2,up,21011.85,5
155,2023-12-14 09:15:00,2023-12-14 11:30:00,28,0.814,0.504,1.0,1.0,0.857,2,3,up,21167.15,1
156,2023-12-15 15:10:00,2023-12-18 11:10:00,28,0.855,0.367,1.0,0.997,0.929,2,3,down,21463.95,2
157,2023-12-20 09:15:00,2023-12-20 10:50:00,20,0.815,0.501,1.0,1.0,0.95,2,2,down,21555.2,5
158,2023-12-26 09:30:00,2023-12-26 11:30:00,25,0.798,0.595,1.0,0.966,0.92,2,3,down,21452.45,1
159,2023-12-29 09:20:00,2023-12-29 10:50:00,19,0.723,0.719,1.0,1.0,0.947,2,2,down,21712.6,3
160,2024-01-03 10:00:00,2024-01-03 11:20:00,17,0.814,0.531,1.0,1.0,0.882,3,2,down,21557.75,2
161,2024-01-05 09:20:00,2024-01-05 10:35:00,16,0.785,0.639,1.0,1.0,0.938,2,2,down,21705.4,1
162,2024-01-08 11:50:00,2024-01-08 13:30:00,21,0.815,0.504,1.0,1.0,0.952,2,2,down,21562.2,2
163,2024-01-11 09:15:00,2024-01-11 10:30:00,16,0.81,0.575,1.0,1.0,1.0,2,2,up,21657.8,5
164,2024-01-16 13:25:00,2024-01-16 14:50:00,18,0.797,0.638,1.0,1.0,1.0,2,2,down,22025.5,5
165,2024-01-17 11:50:00,2024-01-17 13:15:00,18,0.758,0.723,1.0,1.0,0.889,2,2,up,21647.05,2
166,2024-01-18 12:25:00,2024-01-18 14:10:00,22,0.798,0.56,0.886,1.0,0.909,4,2,up,21444.3,2
167,2024-01-20 10:10:00,2024-01-20 12:20:00,27,0.752,0.519,0.968,1.0,0.926,3,2,down,21629.2,2
168,2024-01-31 12:20:00,2024-01-31 14:10:00,23,0.768,0.787,1.0,1.0,1.0,2,2,up,21699.95,6
169,2024-02-01 10:45:00,2024-02-01 12:55:00,27,0.721,0.657,0.731,1.0,0.852,4,2,up,21718.2,14
170,2024-02-01 12:30:00,2024-02-01 14:15:00,22,0.742,0.692,1.0,1.0,1.0,2,2,down,21706.95,4
171,2024-02-02 09:20:00,2024-02-02 10:30:00,15,0.792,0.508,0.92,1.0,0.867,3,2,up,21939.65,5
172,2024-02-05 09:50:00,2024-02-05 11:25:00,20,0.812,0.431,1.0,1.0,0.95,2,2,up,21938.05,2
173,2024-02-07 09:55:00,2024-02-07 11:05:00,15,0.791,0.675,1.0,0.984,0.933,2,3,down,21887.95,5
174,2024-02-09 09:15:00,2024-02-09 11:05:00,23,0.836,0.446,1.0,0.995,0.913,2,3,up,21722.15,7
175,2024-02-12 09:25:00,2024-02-12 12:20:00,36,0.636,0.648,1.0,0.441,0.944,2,3,up,21644.15,14
176,2024-02-15 09:45:00,2024-02-15 10:55:00,15,0.824,0.506,1.0,1.0,1.0,2,2,down,21858.0,9
177,2024-02-15 13:35:00,2024-02-15 15:00:00,18,0.776,0.635,1.0,1.0,0.889,2,2,up,21925.35,4
178,2024-02-26 09:15:00,2024-02-26 12:25:00,39,0.81,0.586,0.851,0.961,0.872,4,5,up,22108.7,1
179,2024-03-04 09:20:00,2024-03-04 11:15:00,24,0.782,0.633,1.0,1.0,0.917,2,2,up,22417.3,6
180,2024-03-06 11:45:00,2024-03-06 13:10:00,18,0.749,0.771,1.0,1.0,0.889,2,2,up,22307.3,5
181,2024-03-11 11:30:00,2024-03-11 13:45:00,28,0.677,0.725,0.563,0.999,0.857,4,3,down,22393.8,4
182,2024-03-12 11:50:00,2024-03-12 13:05:00,16,0.762,0.743,1.0,1.0,1.0,2,2,up,22379.7,2
183,2024-03-19 10:10:00,2024-03-19 11:20:00,15,0.792,0.666,1.0,1.0,1.0,2,2,down,21832.4,3
184,2024-03-26 10:05:00,2024-03-26 11:50:00,22,0.831,0.468,1.0,1.0,1.0,2,2,down,22031.6,4
185,2024-03-27 11:10:00,2024-03-27 13:00:00,23,0.649,0.784,1.0,0.629,0.87,2,3,up,22175.95,7
186,2024-04-01 10:50:00,2024-04-01 12:00:00,15,0.783,0.646,1.0,1.0,0.933,2,2,down,22462.2,2
187,2024-04-04 11:00:00,2024-04-04 12:10:00,15,0.71,0.699,0.991,1.0,0.867,3,2,up,22418.85,5
188,2024-04-08 13:20:00,2024-04-08 14:30:00,15,0.818,0.536,1.0,1.0,1.0,2,2,up,22706.95,12
189,2024-04-09 13:55:00,2024-04-09 15:05:00,15,0.769,0.686,1.0,0.963,0.867,2,3,up,22647.3,2
190,2024-04-10 09:45:00,2024-04-10 10:55:00,15,0.807,0.457,1.0,1.0,0.867,2,2,down,22693.2,4
191,2024-04-15 10:40:00,2024-04-15 11:50:00,15,0.764,0.669,1.0,1.0,0.867,2,2,up,22383.55,1
192,2024-04-16 09:40:00,2024-04-16 11:05:00,18,0.792,0.553,1.0,1.0,0.889,2,2,up,22203.3,3
193,2024-04-25 15:25:00,2024-04-26 11:00:00,23,0.82,0.567,0.994,1.0,0.957,3,2,up,22541.55,7
194,2024-04-26 10:20:00,2024-04-26 11:45:00,18,0.78,0.727,1.0,1.0,1.0,2,2,down,22510.25,10
195,2024-04-26 13:25:00,2024-04-26 14:50:00,18,0.8,0.569,1.0,1.0,0.944,2,2,down,22410.15,2
196,2024-04-29 10:15:00,2024-04-29 11:35:00,17,0.825,0.441,1.0,1.0,0.941,2,2,up,22554.3,4
197,2024-05-06 09:30:00,2024-05-06 11:05:00,20,0.866,0.297,1.0,1.0,1.0,2,2,up,22520.95,13
198,2024-05-07 14:10:00,2024-05-07 15:25:00,16,0.754,0.689,1.0,1.0,0.938,2,2,down,22224.45,1
199,2024-05-09 15:10:00,2024-05-10 11:25:00,31,0.783,0.71,1.0,1.0,1.0,2,2,down,22036.4,4
200,2024-05-10 10:45:00,2024-05-10 12:10:00,18,0.731,0.748,1.0,1.0,1.0,2,2,down,22013.6,7
201,2024-05-13 12:05:00,2024-05-13 13:15:00,15,0.785,0.698,1.0,1.0,1.0,2,2,down,21966.35,1
202,2024-05-15 09:25:00,2024-05-15 12:35:00,39,0.803,0.646,0.984,1.0,0.923,4,3,up,22199.6,5
203,2024-05-21 13:20:00,2024-05-21 14:45:00,18,0.78,0.671,1.0,1.0,0.944,2,2,down,22516.25,2
204,2024-05-28 09:45:00,2024-05-28 10:55:00,15,0.811,0.571,1.0,1.0,1.0,2,2,down,22975.1,1
205,2024-05-28 12:40:00,2024-05-28 14:15:00,20,0.762,0.664,1.0,1.0,0.85,2,2,down,22898.2,4
206,2024-05-29 09:15:00,2024-05-29 10:45:00,19,0.757,0.737,1.0,1.0,0.895,2,2,up,22735.1,8
207,2024-05-30 09:20:00,2024-05-30 12:05:00,34,0.8,0.537,1.0,1.0,0.912,2,2,up,22579.15,8
208,2024-05-31 11:20:00,2024-05-31 12:30:00,15,0.746,0.755,1.0,1.0,1.0,2,2,up,22539.0,4
209,2024-06-04 14:40:00,2024-06-05 10:10:00,22,0.782,0.693,1.0,0.984,0.909,2,3,up,22118.05,7
210,2024-06-05 11:20:00,2024-06-05 12:45:00,18,0.805,0.522,0.961,1.0,0.889,3,2,up,22359.05,2
211,2024-06-10 09:15:00,2024-06-10 10:25:00,15,0.82,0.39,1.0,1.0,0.867,2,2,up,23340.05,10
212,2024-06-10 11:50:00,2024-06-10 13:20:00,19,0.762,0.659,1.0,1.0,1.0,2,2,up,23358.35,4
213,2024-06-11 10:35:00,2024-06-11 11:50:00,16,0.681,0.571,0.681,1.0,0.875,3,2,up,23332.5,5
214,2024-06-14 10:05:00,2024-06-14 11:15:00,15,0.778,0.525,1.0,1.0,0.867,2,2,down,23432.45,3
