Date,Close,Open,High,Low,Vol.,Change %
2024-10-03,13.17,11.9875,13.9275,11.685,,9.86%
2024-10-04,14.1275,13.17,14.48,12.285,,7.27%
2024-10-07,15.08,14.1275,15.5,13.6175,,6.74%
2024-10-08,14.5875,15.08,15.555,13.8775,,-3.27%
2024-10-09,14.1225,14.5875,14.5875,12.7,,-3.19%
2024-10-10,13.495,14.1225,14.1225,11.7275,,-4.44%
2024-10-11,13.22,13.495,13.7025,11.535,,-2.04%
2024-10-14,12.995,13.22,13.735,12.915,,-1.70%
2024-10-15,13.0025,12.995,13.3625,10.9225,,0.06%
2024-10-16,13.0525,13.0025,13.56,11.435,,0.38%
2024-10-17,13.3875,13.0525,13.465,11.0625,,2.57%
2024-10-18,13.0375,13.3875,14.06,12.8675,,-2.61%
2024-10-21,13.7625,13.0375,14.195,12.5525,,5.56%
2024-10-22,14.395,13.7625,14.515,9.47,,4.60%
2024-10-23,14.6225,14.395,15.0325,11.74,,1.58%
2024-10-24,13.97,14.6225,14.8975,12.695,,-4.46%
2024-10-25,14.6325,13.97,15.08,13.35,,4.74%
2024-10-28,14.29,14.6325,15.4775,13.535,,-2.34%
2024-10-29,14.515,14.29,15.0275,13.5575,,1.57%
2024-10-30,15.51,14.515,15.7,14.28,,6.85%
2024-10-31,15.55,15.51,16.24,14.6525,,0.26%
2024-11-01,15.9025,15.55,16.125,13.6325,,2.27%
2024-11-04,16.6875,15.9025,17.6,14.7775,,4.94%
2024-11-05,16.1225,16.6875,19.02,15.795,,-3.39%
2024-11-06,14.8675,16.1225,20.75,14.7125,,-7.78%
2024-11-07,14.94,14.8675,15.5225,14.2675,,0.49%
2024-11-08,14.47,14.94,15.725,14.3925,,-3.15%
2024-11-11,14.27,14.47,15.47,13.1175,,-1.38%
2024-11-12,14.59,14.27,14.8375,12.74,,2.24%
2024-11-13,15.435,14.59,15.865,13.9325,,5.79%
2024-11-14,14.775,15.435,15.685,13.4075,,-4.28%
2024-11-18,15.1675,14.775,16.58,13.755,,2.66%
