direction,entry_type,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
long,CROSSOVER_BREAKOUT,2025-02-19 09:55:00+05:30,2025-02-19 10:45:00+05:30,22989.1,23017.558511923016,22950.105445195793,23017.558511923016,True,28.46,60.85,34.85,TRAIL_SL,50,28.4585,0.3,0.317075,0.0006,-10.53,8.7562,15.7928,-1.404,0.0,7.3522,7.3522,477.89,50.0,427.89,4.6583,65
short,RETEST,2025-02-20 09:35:00+05:30,2025-02-20 09:50:00+05:30,22891.15,22846.095337213308,22913.861914741083,22846.095337213308,True,45.05,78.4,6.95,TRAIL_SL,15,-45.0547,-0.3,-0.327033,0.0006,-10.53,14.0645,39.5835,-0.4212,0.0,13.6433,13.6433,886.81,50.0,836.81,-1.402,65
short,RETEST,2025-02-20 10:00:00+05:30,2025-02-20 11:05:00+05:30,22874.7,22900.742613280607,22900.742613280607,22900.742613280607,False,-26.04,15.85,36.75,STOP_LOSS,65,26.0426,-0.3,-0.284374,0.0006,-10.53,-7.6297,13.2252,-1.8252,0.0,-9.4549,-9.4549,-614.57,50.0,-664.57,-6.0474,65
short,CROSSOVER_BREAKOUT,2025-02-21 09:40:00+05:30,2025-02-21 10:30:00+05:30,22843.5,22777.391779208403,22860.460971061755,22777.391779208403,True,66.11,110.2,9.45,TRAIL_SL,50,-66.1082,-0.3,-0.339665,0.0006,-10.53,21.0124,85.2208,-1.404,0.0,19.6084,19.6084,1274.55,50.0,1224.55,-4.6583,65
short,CROSSOVER_BREAKOUT,2025-03-03 09:55:00+05:30,2025-03-03 10:15:00+05:30,22067.5,22042.566573015825,22097.988897400595,22042.566573015825,True,24.93,55.25,4.7,TRAIL_SL,20,-24.9334,-0.3,-0.31496,0.0006,-10.53,7.6479,12.1227,-0.5616,0.0,7.0863,7.0863,460.61,50.0,410.61,-1.8685,65
long,CROSSOVER_BREAKOUT,2025-03-07 10:05:00+05:30,2025-03-07 10:20:00+05:30,22584.9,22591.1208439155,22540.663785573815,22591.1208439155,True,6.22,40.6,5.5,TRAIL_SL,15,6.2208,0.3,0.303733,0.0006,-10.53,1.8767,0.7546,-0.4212,0.0,1.4555,1.4555,94.61,50.0,44.61,1.402,65
long,RETEST,2025-03-10 10:10:00+05:30,2025-03-10 12:00:00+05:30,22631.75,22599.98619287431,22599.98619287431,22599.98619287431,False,-31.76,18.75,40.65,STOP_LOSS,110,-31.7638,0.3,0.280942,0.0006,-10.53,-9.2567,19.6743,-3.0888,0.0,-12.3455,-12.3455,-802.46,50.0,-852.46,10.1921,65
long,RETEST,2025-03-13 10:20:00+05:30,2025-03-13 10:55:00+05:30,22532.65,22504.004359926646,22504.004359926646,22504.004359926646,False,-28.65,14.55,46.8,STOP_LOSS,35,-28.6456,0.3,0.282813,0.0006,-10.53,-8.3721,16.0012,-0.9828,0.0,-9.3549,-9.3549,-608.07,50.0,-658.07,3.2653,65
long,RETEST,2025-03-19 09:30:00+05:30,2025-03-19 10:05:00+05:30,22843.3,22854.775196740513,22809.30959399111,22854.775196740513,True,11.48,36.4,31.15,TRAIL_SL,35,11.4752,0.3,0.306885,0.0006,-10.53,3.4781,2.5678,-0.9828,0.0,2.4953,2.4953,162.2,50.0,112.2,3.2653,65
long,RETEST,2025-03-25 10:15:00+05:30,2025-03-25 10:35:00+05:30,23798.2,23749.653379309268,23749.653379309268,23749.653379309268,False,-48.55,28.15,92.3,STOP_LOSS,20,-48.5466,0.3,0.270872,0.0006,-10.53,-13.9277,45.9571,-0.5616,0.0,-14.4893,-14.4893,-941.8,50.0,-991.8,1.8685,65
short,RETEST,2025-03-28 09:50:00+05:30,2025-03-28 10:25:00+05:30,23549.55,23540.140347261386,23571.60574428887,23540.140347261386,True,9.41,30.55,16.3,TRAIL_SL,35,-9.4097,-0.3,-0.305646,0.0006,-10.53,2.8468,1.7266,-0.9828,0.0,1.864,1.864,121.16,50.0,71.16,-3.2653,65
short,CROSSOVER_BREAKOUT,2025-04-01 10:10:00+05:30,2025-04-01 12:10:00+05:30,23456.1,23197.746914525906,23487.63515099173,23197.746914525906,True,258.35,283.0,27.6,TRAIL_SL,120,-258.3531,-0.3,-0.455012,0.0006,-10.53,95.5274,1301.5532,-3.3696,0.0,92.1578,92.1578,5990.26,50.0,5940.26,-11.1086,65
short,RETEST,2025-04-03 10:00:00+05:30,2025-04-03 10:10:00+05:30,23250.1,23274.716839549757,23274.716839549757,23274.716839549757,False,-24.62,3.6,32.35,STOP_LOSS,10,24.6168,-0.3,-0.28523,0.0006,-10.53,-7.2214,11.8168,-0.2808,0.0,-7.5022,-7.5022,-487.65,50.0,-537.65,-0.9351,65
long,RETEST,2025-04-16 10:10:00+05:30,2025-04-16 10:15:00+05:30,23355.8,23332.193241520657,23332.193241520657,23332.193241520657,False,-23.61,3.15,47.05,STOP_LOSS,5,-23.6068,0.3,0.285836,0.0006,-10.53,-6.9316,10.8669,-0.1404,0.0,-7.072,-7.072,-459.68,50.0,-509.68,0.4678,65
short,CROSSOVER_BREAKOUT,2025-04-17 09:30:00+05:30,2025-04-17 09:35:00+05:30,23319.85,23342.54688809473,23342.54688809473,23342.54688809473,False,-22.7,3.55,27.65,STOP_LOSS,5,22.6969,-0.3,-0.286382,0.0006,-10.53,-6.67,10.0454,-0.1404,0.0,-6.8104,-6.8104,-442.67,50.0,-492.67,-0.4678,65
short,CROSSOVER_BREAKOUT,2025-04-25 09:55:00+05:30,2025-04-25 10:10:00+05:30,24080.3,23993.8607746674,24113.77996346259,23993.8607746674,True,86.44,130.15,0.35,TRAIL_SL,15,-86.4392,-0.3,-0.351864,0.0006,-10.53,27.9491,145.6989,-0.4212,0.0,27.5279,27.5279,1789.32,50.0,1739.32,-1.402,65
long,CROSSOVER_BREAKOUT,2025-05-02 09:30:00+05:30,2025-05-02 10:15:00+05:30,24525.0,24560.033874490207,24456.721124802927,24560.033874490207,True,35.03,64.15,20.35,TRAIL_SL,45,35.0339,0.3,0.32102,0.0006,-10.53,10.8416,23.9338,-1.2636,0.0,9.578,9.578,622.57,50.0,572.57,4.1944,65
short,CROSSOVER_BREAKOUT,2025-05-07 10:05:00+05:30,2025-05-07 10:20:00+05:30,24304.95,24338.907140912557,24338.907140912557,24338.907140912557,False,-33.96,19.95,48.5,STOP_LOSS,15,33.9571,-0.3,-0.279626,0.0006,-10.53,-9.8758,22.4852,-0.4212,0.0,-10.297,-10.297,-669.31,50.0,-719.31,-1.402,65
short,RETEST,2025-05-07 10:20:00+05:30,2025-05-07 11:15:00+05:30,24348.35,24380.450752173296,24380.450752173296,24380.450752173296,False,-32.1,23.6,51.85,STOP_LOSS,55,32.1008,-0.3,-0.28074,0.0006,-10.53,-9.352,20.0939,-1.5444,0.0,-10.8964,-10.8964,-708.27,50.0,-758.27,-5.1218,65
short,CROSSOVER_BREAKOUT,2025-05-13 09:40:00+05:30,2025-05-13 09:50:00+05:30,24745.2,24732.362277022858,24793.719630321433,24732.362277022858,True,12.84,67.6,11.45,TRAIL_SL,10,-12.8377,-0.3,-0.307703,0.0006,-10.53,3.8958,3.2137,-0.2808,0.0,3.615,3.615,234.98,50.0,184.98,-0.9351,65
short,RETEST,2025-05-13 10:10:00+05:30,2025-05-13 10:40:00+05:30,24770.85,24696.423056225933,24818.87874076156,24696.423056225933,True,74.43,135.95,26.75,TRAIL_SL,30,-74.4269,-0.3,-0.344656,0.0006,-10.53,23.8237,108.0177,-0.8424,0.0,22.9813,22.9813,1493.79,50.0,1443.79,-2.8002,65
