direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
short,A,2025-02-11 09:40:00+05:30,2025-02-11 10:20:00+05:30,23339.95,23279.17948843486,23359.94291495327,23279.17948843486,True,60.77,78.7,3.4,TRAIL_SL,3530,3538
short,A,2025-02-11 10:25:00+05:30,2025-02-11 13:15:00+05:30,23289.0,23051.251177613893,23306.62185303051,23051.251177613893,True,237.75,266.55,12.75,TRAIL_SL,3539,3573
short,B,2025-02-11 13:15:00+05:30,2025-02-11 14:10:00+05:30,23089.0,23022.462262981888,23118.617109081715,23022.462262981888,True,66.54,102.35,4.6,TRAIL_SL,3573,3584
short,B,2025-02-12 09:35:00+05:30,2025-02-12 10:05:00+05:30,22924.95,22843.04700863286,22953.25057804948,22843.04700863286,True,81.9,110.45,7.35,TRAIL_SL,3604,3610
short,A,2025-02-12 10:25:00+05:30,2025-02-12 10:30:00+05:30,22857.85,22887.53669833139,22887.53669833139,22887.53669833139,False,-29.69,7.7,32.9,STOP_LOSS,3614,3615
short,A,2025-02-14 11:45:00+05:30,2025-02-14 11:55:00+05:30,22889.25,22915.530797250063,22915.530797250063,22915.530797250063,False,-26.28,2.3,33.1,STOP_LOSS,3780,3782
short,A,2025-02-14 12:25:00+05:30,2025-02-14 14:10:00+05:30,22847.7,22792.27379895831,22872.750614063196,22792.27379895831,True,55.43,72.85,19.25,TRAIL_SL,3788,3809
short,B,2025-02-17 09:35:00+05:30,2025-02-17 10:25:00+05:30,22776.3,22817.185223871697,22817.185223871697,22817.185223871697,False,-40.89,36.1,51.55,STOP_LOSS,3829,3839
short,B,2025-02-18 10:20:00+05:30,2025-02-18 10:55:00+05:30,22842.5,22869.285922403866,22869.285922403866,22869.285922403866,False,-26.79,28.35,35.05,STOP_LOSS,3913,3920
short,A,2025-02-19 09:30:00+05:30,2025-02-19 09:45:00+05:30,22890.65,22915.157426706206,22915.157426706206,22915.157426706206,False,-24.51,8.55,74.25,STOP_LOSS,3978,3981
long,B,2025-02-19 09:55:00+05:30,2025-02-19 10:45:00+05:30,22989.1,23017.558511923016,22950.105445195793,23017.558511923016,True,28.46,60.85,34.85,TRAIL_SL,3983,3993
short,A,2025-02-20 09:35:00+05:30,2025-02-20 13:50:00+05:30,22891.15,22913.861914741083,22913.861914741083,22913.861914741083,False,-22.71,78.4,31.85,STOP_LOSS,4054,4105
short,B,2025-02-21 09:50:00+05:30,2025-02-21 13:50:00+05:30,22812.6,22739.937916479696,22829.702240486386,22739.937916479696,True,72.66,92.3,25.1,TRAIL_SL,4132,4180
short,B,2025-02-24 09:35:00+05:30,2025-02-24 11:45:00+05:30,22586.25,22613.91814058164,22613.91814058164,22613.91814058164,False,-27.67,37.9,33.8,STOP_LOSS,4204,4230
short,B,2025-02-28 09:35:00+05:30,2025-02-28 13:00:00+05:30,22266.5,22124.80549862045,22296.62381975322,22124.80549862045,True,141.69,161.35,34.0,TRAIL_SL,4429,4470
short,B,2025-03-03 10:00:00+05:30,2025-03-03 10:25:00+05:30,22041.2,22071.878711080517,22071.878711080517,22071.878711080517,False,-30.68,28.95,63.0,STOP_LOSS,4509,4514
short,A,2025-03-04 09:35:00+05:30,2025-03-04 10:55:00+05:30,22047.75,22081.08103098711,22081.08103098711,22081.08103098711,False,-33.33,34.15,43.3,STOP_LOSS,4579,4595
long,A,2025-03-05 12:45:00+05:30,2025-03-05 13:05:00+05:30,22369.85,22348.990926944734,22348.990926944734,22348.990926944734,False,-20.86,7.8,36.75,STOP_LOSS,4692,4696
long,A,2025-03-06 13:25:00+05:30,2025-03-06 14:25:00+05:30,22467.25,22503.655761008296,22441.242803622623,22503.655761008296,True,36.41,61.7,9.0,TRAIL_SL,4775,4787
long,B,2025-03-10 09:40:00+05:30,2025-03-10 10:25:00+05:30,22653.85,22619.488339967236,22619.488339967236,22619.488339967236,False,-34.36,22.9,49.8,STOP_LOSS,4880,4889
short,A,2025-03-11 09:45:00+05:30,2025-03-11 10:40:00+05:30,22399.75,22431.399873260554,22431.399873260554,22431.399873260554,False,-31.65,30.7,49.6,STOP_LOSS,4956,4967
short,A,2025-03-12 12:05:00+05:30,2025-03-12 12:30:00+05:30,22360.95,22378.188703005166,22378.188703005166,22378.188703005166,False,-17.24,14.6,23.85,STOP_LOSS,5059,5064
long,A,2025-03-13 10:20:00+05:30,2025-03-13 10:55:00+05:30,22532.65,22504.004359926646,22504.004359926646,22504.004359926646,False,-28.65,14.55,46.8,STOP_LOSS,5113,5120
short,B,2025-03-13 11:45:00+05:30,2025-03-13 11:55:00+05:30,22408.3,22427.016759042035,22427.016759042035,22427.016759042035,False,-18.72,5.15,24.3,STOP_LOSS,5130,5132
long,B,2025-03-18 09:35:00+05:30,2025-03-18 10:45:00+05:30,22702.5,22759.158994077523,22661.47349151876,22759.158994077523,True,56.66,72.15,36.95,TRAIL_SL,5254,5268
long,A,2025-03-19 09:30:00+05:30,2025-03-19 10:45:00+05:30,22843.3,22895.378121684935,22809.30959399111,22895.378121684935,True,52.08,68.55,31.15,TRAIL_SL,5328,5343
long,A,2025-03-20 09:45:00+05:30,2025-03-20 13:00:00+05:30,23021.25,23107.325837538465,22986.053408450985,23107.325837538465,True,86.08,94.0,47.3,TRAIL_SL,5406,5445
long,B,2025-03-21 09:40:00+05:30,2025-03-21 11:10:00+05:30,23273.85,23334.33904418654,23237.54599716211,23334.33904418654,True,60.49,83.85,32.9,TRAIL_SL,5480,5498
long,A,2025-03-21 11:45:00+05:30,2025-03-21 13:00:00+05:30,23340.0,23389.222692766565,23317.645292924204,23389.222692766565,True,49.22,62.7,1.05,TRAIL_SL,5505,5520
long,A,2025-03-24 09:35:00+05:30,2025-03-24 11:05:00+05:30,23439.65,23615.86299125517,23395.371751513943,23615.86299125517,True,176.21,199.25,6.15,TRAIL_SL,5554,5572
long,A,2025-03-24 11:45:00+05:30,2025-03-24 13:40:00+05:30,23609.8,23651.163590561584,23582.089789513717,23651.163590561584,True,41.36,57.05,12.2,TRAIL_SL,5580,5603
long,B,2025-03-25 09:35:00+05:30,2025-03-25 10:00:00+05:30,23786.2,23843.120337655047,23744.041227813228,23843.120337655047,True,56.92,83.4,12.5,TRAIL_SL,5629,5634
long,A,2025-03-25 10:15:00+05:30,2025-03-25 10:35:00+05:30,23798.2,23749.653379309268,23749.653379309268,23749.653379309268,False,-48.55,28.15,92.3,STOP_LOSS,5637,5641
short,A,2025-03-25 11:50:00+05:30,2025-03-25 11:55:00+05:30,23677.6,23705.6417458705,23705.6417458705,23705.6417458705,False,-28.04,7.5,32.45,STOP_LOSS,5656,5657
short,B,2025-03-28 09:35:00+05:30,2025-03-28 09:50:00+05:30,23512.6,23536.476268536615,23536.476268536615,23536.476268536615,False,-23.88,7.65,44.45,STOP_LOSS,5854,5857
short,A,2025-03-28 09:50:00+05:30,2025-03-28 10:30:00+05:30,23549.55,23571.60574428887,23571.60574428887,23571.60574428887,False,-22.06,30.55,77.5,STOP_LOSS,5857,5865
short,A,2025-04-01 10:15:00+05:30,2025-04-01 12:10:00+05:30,23480.15,23197.746914525906,23510.580464192837,23197.746914525906,True,282.4,307.05,3.55,TRAIL_SL,5937,5960
short,A,2025-04-01 12:10:00+05:30,2025-04-01 12:15:00+05:30,23209.9,23229.65521419377,23229.65521419377,23229.65521419377,False,-19.76,0.65,36.75,STOP_LOSS,5960,5961
