datetime,Open,High,Low,Close,Volume
21-07-2025 15:15,25089.85,25111.4,25084.25,25093.3,0
22-07-2025 09:15,25166.65,25182,25115.6,25124,0
22-07-2025 09:30,25124.85,25140.95,25089.4,25109.2,0
22-07-2025 09:45,25110.45,25131.6,25090.7,25097.55,0
22-07-2025 10:00,25098.25,25111.5,25085.6,25111.05,0
22-07-2025 10:15,25111.3,25123.8,25100.5,25102,0
22-07-2025 10:30,25102.05,25105.85,25086.3,25087.85,0
22-07-2025 10:45,25087.65,25100.2,25076.5,25085.85,0
22-07-2025 11:00,25086.25,25088.3,25055.1,25072,0
22-07-2025 11:15,25072.3,25072.45,25047,25060.45,0
22-07-2025 11:30,25060.95,25064.5,25048.75,25062.9,0
22-07-2025 11:45,25062.9,25086.65,25035.55,25085.35,0
22-07-2025 12:00,25085.8,25087.6,25072.1,25075.1,0
22-07-2025 12:15,25075.6,25102.1,25071.1,25099.6,0
22-07-2025 12:30,25099.3,25111.85,25097.25,25110.25,0
22-07-2025 12:45,25109.85,25116.4,25103.75,25115.55,0
22-07-2025 13:00,25114.85,25119.7,25078.85,25092.2,0
22-07-2025 13:15,25092.35,25097.05,25078.7,25081.1,0
22-07-2025 13:30,25081.05,25089.15,25074.15,25080.25,0
22-07-2025 13:45,25079.95,25107.3,25073.5,25088.8,0
22-07-2025 14:00,25088.2,25107.65,25085.5,25086.45,0
22-07-2025 14:15,25086.5,25089.55,25061.45,25069.5,0
22-07-2025 14:30,25069.05,25073.9,25044.85,25064.95,0
22-07-2025 14:45,25064.75,25080,25064.1,25066.6,0
22-07-2025 15:00,25062.65,25067.4,25047.9,25058.5,0
22-07-2025 15:15,25058.5,25071.05,25054.95,25064.9,0
23-07-2025 09:15,25139.35,25149.85,25105.05,25113.75,0
23-07-2025 09:30,25114.35,25127.4,25094.55,25096.9,0
23-07-2025 09:45,25097.55,25120.4,25085.5,25116.9,0
23-07-2025 10:00,25117.1,25119.7,25090.85,25109.3,0
23-07-2025 10:15,25108.95,25112.5,25095.95,25108.4,0
23-07-2025 10:30,25109.05,25116.7,25097.8,25114.65,0
23-07-2025 10:45,25115.25,25132.05,25111.25,25122.45,0
23-07-2025 11:00,25122.15,25142.3,25121.5,25127.85,0
23-07-2025 11:15,25128.05,25138.1,25102.8,25125.05,0
23-07-2025 11:30,25124.4,25130.45,25117.25,25125.25,0
23-07-2025 11:45,25125.2,25137.5,25123.5,25135.3,0
23-07-2025 12:00,25135.65,25163.05,25130.55,25151.85,0
23-07-2025 12:15,25150.95,25176.65,25150.4,25173.65,0
23-07-2025 12:30,25173.5,25188.55,25165.8,25172.45,0
23-07-2025 12:45,25172.1,25176.4,25164.05,25168.85,0
23-07-2025 13:00,25168.55,25183.05,25158.65,25159.2,0
23-07-2025 13:15,25159.6,25172.2,25139.95,25167.05,0
23-07-2025 13:30,25167.1,25182,25166.5,25169.95,0
23-07-2025 13:45,25170.4,25196.3,25169.25,25191.6,0
23-07-2025 14:00,25192.15,25208.45,25182.65,25208.45,0
23-07-2025 14:15,25208.15,25219.05,25192.15,25195.4,0
23-07-2025 14:30,25194.05,25212.7,25192,25210.4,0
23-07-2025 14:45,25210.5,25216.55,25203.05,25212.55,0
23-07-2025 15:00,25213.4,25233.5,25213.2,25229.35,0
23-07-2025 15:15,25229.35,25230.5,25205.8,25209.2,0
24-07-2025 09:15,25243.3,25246.25,25183.35,25188.65,0
24-07-2025 09:30,25188.8,25196.45,25178.9,25187.15,0
24-07-2025 09:45,25187.85,25195.9,25164.25,25175.75,0
24-07-2025 10:00,25175.3,25175.7,25155.15,25158.45,0
24-07-2025 10:15,25158.55,25175.25,25154.4,25171.95,0
24-07-2025 10:30,25171.55,25182.9,25161.75,25169.05,0
24-07-2025 10:45,25168.75,25174.85,25163,25166.9,0
24-07-2025 11:00,25166.35,25169.6,25146.85,25148.45,0
24-07-2025 11:15,25147.95,25148.7,25101.6,25112.65,0
24-07-2025 11:30,25113.25,25116.5,25089.65,25099.05,0
24-07-2025 11:45,25099.65,25114.6,25067.1,25072.3,0
24-07-2025 12:00,25072.8,25072.8,25018.7,25049.45,0
24-07-2025 12:15,25049.6,25078.2,25047.25,25078.05,0
24-07-2025 12:30,25077.5,25091.2,25068.35,25078,0
24-07-2025 12:45,25078.7,25088.5,25040.8,25040.8,0
24-07-2025 13:00,25041.85,25070.85,25030.65,25066.2,0
24-07-2025 13:15,25066.1,25067.7,25050.45,25058.85,0
24-07-2025 13:30,25059.55,25081.1,25051.5,25077.05,0
24-07-2025 13:45,25077.1,25101.6,25053.85,25068.6,0
24-07-2025 14:00,25068.4,25101.2,25063.3,25091.35,0
24-07-2025 14:15,25091,25103.25,25072.4,25077.2,0
24-07-2025 14:30,25077.05,25093,25068.5,25074.45,0
