entry_type,direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
breakout,short,2026-02-19 13:55:00+05:30,2026-02-19 14:15:00+05:30,25562.44921875,25580.946766146644,25580.946766146644,25580.946766146644,False,-18.5,16.95,39.25,STOP_LOSS,20,18.4975,-0.2,-0.188901,0.0006,-5.53,-3.6071,6.6721,-0.2949,0.0,-3.9021,-3.9021,-253.63,50.0,-303.63,-1.4714,65
breakout,long,2026-02-23 09:45:00+05:30,2026-02-23 10:35:00+05:30,25741.400390625,25699.004952081137,25699.004952081137,25699.004952081137,False,-42.4,5.25,57.25,STOP_LOSS,50,-42.3954,0.2,0.174563,0.0006,-5.53,-7.9938,35.0488,-0.7373,0.0,-8.7311,-8.7311,-567.52,50.0,-617.52,3.6665,65
breakout,short,2026-02-24 09:30:00+05:30,2026-02-24 12:55:00+05:30,25513.900390625,25404.634937375176,25540.238361413016,25404.634937375176,True,109.27,126.45,21.7,TRAIL_SL,205,-109.2655,-0.2,-0.265559,0.0006,-5.53,25.0766,232.8093,-3.0231,0.0,22.0535,22.0535,1433.48,50.0,1383.48,-14.7873,65
breakout,short,2026-02-24 12:55:00+05:30,2026-02-24 13:00:00+05:30,25404.69921875,25418.534976792525,25418.534976792525,25418.534976792525,False,-13.84,8.2,20.3,STOP_LOSS,5,13.8358,-0.2,-0.191699,0.0006,-5.53,-2.7155,3.7328,-0.0737,0.0,-2.7892,-2.7892,-181.3,50.0,-231.3,-0.3685,65
pullback,short,2026-02-24 13:00:00+05:30,2026-02-24 13:35:00+05:30,25421.900390625,25354.032087281485,25436.74138092852,25354.032087281485,True,67.87,93.9,11.35,TRAIL_SL,35,-67.8683,-0.2,-0.240721,0.0006,-5.53,14.8173,89.8191,-0.5161,0.0,14.3012,14.3012,929.58,50.0,879.58,-2.5708,65
breakout,short,2026-02-25 12:55:00+05:30,2026-02-25 14:15:00+05:30,25472.19921875,25492.26182351236,25492.26182351236,25492.26182351236,False,-20.06,43.8,23.55,STOP_LOSS,80,20.0626,-0.2,-0.187962,0.0006,-5.53,-3.9038,7.8489,-1.1797,0.0,-5.0836,-5.0836,-330.43,50.0,-380.43,-5.8474,65
pullback,short,2026-02-25 14:50:00+05:30,2026-02-25 15:00:00+05:30,25458.349609375,25476.122469581424,25476.122469581424,25476.122469581424,False,-17.77,5.75,48.2,STOP_LOSS,10,17.7729,-0.2,-0.189336,0.0006,-5.53,-3.4693,6.1596,-0.1475,0.0,-3.6168,-3.6168,-235.09,50.0,-285.09,-0.7365,65
breakout,short,2026-02-26 12:55:00+05:30,2026-02-26 13:00:00+05:30,25414.80078125,25432.45701414636,25432.45701414636,25432.45701414636,False,-17.66,1.05,37.45,STOP_LOSS,5,17.6562,-0.2,-0.189406,0.0006,-5.53,-3.4471,6.079,-0.0737,0.0,-3.5208,-3.5208,-228.85,50.0,-278.85,-0.3685,65
breakout,short,2026-02-26 13:15:00+05:30,2026-02-26 13:35:00+05:30,25420.650390625,25438.467275111478,25438.467275111478,25438.467275111478,False,-17.82,6.55,34.1,STOP_LOSS,20,17.8169,-0.2,-0.18931,0.0006,-5.53,-3.4777,6.1901,-0.2949,0.0,-3.7726,-3.7726,-245.22,50.0,-295.22,-1.4714,65
breakout,short,2026-02-27 09:30:00+05:30,2026-02-27 11:40:00+05:30,25367.19921875,25293.35784573682,25394.067821680474,25293.35784573682,True,73.84,95.0,16.45,TRAIL_SL,130,-73.8414,-0.2,-0.244305,0.0006,-5.53,16.2405,106.3247,-1.9171,0.0,14.3234,14.3234,931.02,50.0,881.02,-9.4513,65
breakout,short,2026-02-27 11:40:00+05:30,2026-02-27 11:55:00+05:30,25295.099609375,25309.286787308636,25309.286787308636,25309.286787308636,False,-14.19,0.0,22.65,STOP_LOSS,15,14.1872,-0.2,-0.191488,0.0006,-5.53,-2.7831,3.9249,-0.2212,0.0,-3.0043,-3.0043,-195.28,50.0,-245.28,-1.1042,65
breakout,short,2026-03-02 09:30:00+05:30,2026-03-02 09:55:00+05:30,24974.55078125,24926.12216717678,25037.33785371645,24926.12216717678,True,48.43,91.35,14.2,TRAIL_SL,25,-48.4286,-0.2,-0.229057,0.0006,-5.53,10.319,45.7339,-0.3687,0.0,9.9503,9.9503,646.77,50.0,596.77,-1.8383,65
pullback,short,2026-03-02 10:55:00+05:30,2026-03-02 14:00:00+05:30,24855.150390625,24628.92959534157,24882.74988499293,24628.92959534157,True,226.22,251.2,13.55,TRAIL_SL,185,-226.2208,-0.2,-0.335732,0.0006,-5.53,59.0616,997.929,-2.7281,0.0,56.3335,56.3335,3661.68,50.0,3611.68,-13.3724,65
breakout,short,2026-03-04 09:30:00+05:30,2026-03-04 09:40:00+05:30,24332.349609375,24399.86578820611,24399.86578820611,24399.86578820611,False,-67.52,15.2,79.65,STOP_LOSS,10,67.5162,-0.2,-0.15949,0.0006,-5.53,-12.2725,88.8895,-0.1475,0.0,-12.4199,-12.4199,-807.3,50.0,-857.3,-0.7365,65
breakout,short,2026-03-04 09:40:00+05:30,2026-03-04 10:05:00+05:30,24408.75,24365.957723504445,24469.86855834981,24365.957723504445,True,42.79,102.15,7.45,TRAIL_SL,25,-42.7923,-0.2,-0.225675,0.0006,-5.53,9.0529,35.708,-0.3687,0.0,8.6842,8.6842,564.47,50.0,514.47,-1.8383,65
pullback,short,2026-03-04 10:10:00+05:30,2026-03-04 13:10:00+05:30,24413.650390625,24459.235881721717,24459.235881721717,24459.235881721717,False,-45.59,59.5,47.7,STOP_LOSS,180,45.5855,-0.2,-0.172649,0.0006,-5.53,-8.556,40.5217,-2.6544,0.0,-11.2104,-11.2104,-728.68,50.0,-778.68,-13.0178,65
breakout,short,2026-03-06 14:55:00+05:30,2026-03-06 15:10:00+05:30,24482.55078125,24441.650390625,24510.698284158618,24510.698284158618,False,40.9,51.05,10.25,SOFT_EOD_EXIT,15,-40.9004,-0.2,-0.22454,0.0006,-5.53,8.6317,32.6204,-0.2212,0.0,8.4105,8.4105,546.69,50.0,496.69,-1.1042,65
breakout,short,2026-03-09 09:30:00+05:30,2026-03-09 10:50:00+05:30,23764.400390625,23841.137624083272,23841.137624083272,23841.137624083272,False,-76.74,52.55,97.95,STOP_LOSS,80,76.7372,-0.2,-0.153958,0.0006,-5.53,-13.7575,114.8278,-1.1797,0.0,-14.9373,-14.9373,-970.92,50.0,-1020.92,-5.8474,65
pullback,short,2026-03-09 11:05:00+05:30,2026-03-09 11:25:00+05:30,23830.30078125,23865.74423284814,23865.74423284814,23865.74423284814,False,-35.44,45.85,58.35,STOP_LOSS,20,35.4435,-0.2,-0.178734,0.0006,-5.53,-6.7495,24.4966,-0.2949,0.0,-7.0444,-7.0444,-457.89,50.0,-507.89,-1.4714,65
breakout,short,2026-03-11 10:10:00+05:30,2026-03-11 11:25:00+05:30,24116.5,24028.44858983671,24142.176550111166,24028.44858983671,True,88.05,106.35,25.45,TRAIL_SL,75,-88.0514,-0.2,-0.252831,0.0006,-5.53,19.7036,151.1845,-1.106,0.0,18.5976,18.5976,1208.84,50.0,1158.84,-5.4849,65
breakout,short,2026-03-11 11:25:00+05:30,2026-03-11 13:20:00+05:30,24033.55078125,23947.182298259708,24055.197137687686,23947.182298259708,True,86.37,119.35,0.8,TRAIL_SL,115,-86.3685,-0.2,-0.251821,0.0006,-5.53,19.2878,145.4605,-1.6959,0.0,17.5919,17.5919,1143.47,50.0,1093.47,-8.3741,65
pullback,short,2026-03-11 13:20:00+05:30,2026-03-12 09:25:00+05:30,23961.44921875,23602.541674177908,23982.96042213342,23602.541674177908,True,358.91,403.6,43.9,TRAIL_SL,1205,-358.9075,-0.2,-0.415345,0.0006,-5.53,106.5615,2511.8852,-17.7697,0.0,88.7917,88.7917,5771.46,50.0,5721.46,-79.3936,65
breakout,short,2026-03-12 09:30:00+05:30,2026-03-12 09:50:00+05:30,23592.650390625,23633.22395484842,23633.22395484842,23633.22395484842,False,-40.57,23.25,64.35,STOP_LOSS,20,40.5736,-0.2,-0.175656,0.0006,-5.53,-7.6702,32.1012,-0.2949,0.0,-7.9652,-7.9652,-517.74,50.0,-567.74,-1.4714,65
