direction,entry_time,exit_time,entry_price,exit_price,stop_loss_at_exit,pnl,exit_reason
long,2020-11-23 14:05:00+05:30,2020-11-23 15:15:00+05:30,12941.75,12923.65,12919.982513146364,-18.1,EOD_EXIT
long,2020-11-24 10:35:00+05:30,2020-11-24 11:15:00+05:30,13030.15,13013.004181125807,13013.004181125807,-17.15,STOP_LOSS
long,2020-11-24 14:05:00+05:30,2020-11-24 15:15:00+05:30,13043.45,13061.5,13029.738489311527,18.05,EOD_EXIT
short,2020-11-25 11:35:00+05:30,2020-11-25 12:40:00+05:30,12999.2,13015.105208380191,13015.105208380191,-15.91,STOP_LOSS
short,2020-11-26 10:20:00+05:30,2020-11-26 10:50:00+05:30,12843.9,12861.101494155291,12861.101494155291,-17.2,STOP_LOSS
short,2020-11-26 10:55:00+05:30,2020-11-26 12:45:00+05:30,12844.65,12859.80377136668,12859.80377136668,-15.15,STOP_LOSS
long,2020-11-27 09:50:00+05:30,2020-11-27 11:30:00+05:30,12987.35,12954.625810202926,12954.625810202926,-32.72,STOP_LOSS
long,2020-12-01 11:30:00+05:30,2020-12-01 12:40:00+05:30,13070.3,13057.377422681298,13057.377422681298,-12.92,STOP_LOSS
long,2020-12-01 14:30:00+05:30,2020-12-01 15:15:00+05:30,13108.6,13101.9,13093.594572751965,-6.7,EOD_EXIT
short,2020-12-02 13:50:00+05:30,2020-12-02 14:30:00+05:30,13024.35,13037.913491816265,13037.913491816265,-13.56,STOP_LOSS
long,2020-12-03 10:05:00+05:30,2020-12-03 12:15:00+05:30,13154.85,13134.972945243686,13134.972945243686,-19.88,STOP_LOSS
long,2020-12-07 10:00:00+05:30,2020-12-07 15:15:00+05:30,13298.25,13352.55,13278.010887223883,54.3,EOD_EXIT
long,2020-12-08 14:05:00+05:30,2020-12-08 15:15:00+05:30,13396.5,13390.8,13381.130855377982,-5.7,EOD_EXIT
long,2020-12-09 10:05:00+05:30,2020-12-09 14:25:00+05:30,13464.3,13536.605822196787,13536.605822196787,72.31,TRAIL_SL
long,2020-12-09 14:25:00+05:30,2020-12-09 15:15:00+05:30,13526.15,13530.05,13512.128175624497,3.9,EOD_EXIT
long,2020-12-11 10:50:00+05:30,2020-12-11 11:25:00+05:30,13561.15,13547.8467176554,13547.8467176554,-13.3,STOP_LOSS
short,2020-12-11 14:30:00+05:30,2020-12-11 14:55:00+05:30,13463.2,13481.912005119575,13481.912005119575,-18.71,STOP_LOSS
long,2020-12-14 09:50:00+05:30,2020-12-14 10:35:00+05:30,13553.65,13528.600467858741,13528.600467858741,-25.05,STOP_LOSS
long,2020-12-14 14:50:00+05:30,2020-12-14 15:15:00+05:30,13551.25,13555.5,13537.783292881126,4.25,EOD_EXIT
short,2020-12-15 11:10:00+05:30,2020-12-15 11:25:00+05:30,13469.15,13478.420407766258,13478.420407766258,-9.27,STOP_LOSS
long,2020-12-15 13:30:00+05:30,2020-12-15 15:15:00+05:30,13525.35,13566.35,13510.76966792475,41.0,EOD_EXIT
long,2020-12-16 10:15:00+05:30,2020-12-16 12:50:00+05:30,13639.35,13622.678916288329,13622.678916288329,-16.67,STOP_LOSS
long,2020-12-16 14:50:00+05:30,2020-12-16 15:15:00+05:30,13673.35,13681.7,13660.787467784288,8.35,EOD_EXIT
long,2020-12-17 10:15:00+05:30,2020-12-17 15:15:00+05:30,13708.25,13740.85,13695.227419753162,32.6,EOD_EXIT
short,2020-12-18 10:15:00+05:30,2020-12-18 10:40:00+05:30,13688.65,13702.98623618159,13702.98623618159,-14.34,STOP_LOSS
long,2020-12-18 14:30:00+05:30,2020-12-18 15:15:00+05:30,13741.6,13768.4,13727.13494320267,26.8,EOD_EXIT
short,2020-12-21 13:25:00+05:30,2020-12-21 14:05:00+05:30,13678.05,13585.711399784866,13585.711399784866,92.34,TRAIL_SL
short,2020-12-22 10:00:00+05:30,2020-12-22 10:25:00+05:30,13284.0,13329.797720984192,13329.797720984192,-45.8,STOP_LOSS
short,2020-12-22 11:00:00+05:30,2020-12-22 11:45:00+05:30,13294.5,13243.673704032442,13243.673704032442,50.83,TRAIL_SL
short,2020-12-22 11:50:00+05:30,2020-12-22 12:40:00+05:30,13255.65,13278.004811008237,13278.004811008237,-22.35,STOP_LOSS
long,2020-12-24 14:00:00+05:30,2020-12-24 15:15:00+05:30,13722.75,13745.05,13706.264908817111,22.3,EOD_EXIT
long,2020-12-28 10:25:00+05:30,2020-12-28 15:15:00+05:30,13835.65,13868.5,13816.652130189837,32.85,EOD_EXIT
long,2020-12-29 13:45:00+05:30,2020-12-29 14:20:00+05:30,13924.45,13910.056569124567,13910.056569124567,-14.39,STOP_LOSS
long,2020-12-30 14:35:00+05:30,2020-12-30 15:15:00+05:30,13947.8,13981.3,13933.74389197721,33.5,EOD_EXIT
long,2020-12-31 09:45:00+05:30,2020-12-31 12:25:00+05:30,13983.6,13964.727394571602,13964.727394571602,-18.87,STOP_LOSS
long,2021-01-01 10:05:00+05:30,2021-01-01 15:15:00+05:30,14020.65,14014.05,14005.153925358123,-6.6,EOD_EXIT
long,2021-01-04 10:10:00+05:30,2021-01-04 10:45:00+05:30,14086.55,14068.721817055306,14068.721817055306,-17.83,STOP_LOSS
long,2021-01-04 14:05:00+05:30,2021-01-04 14:15:00+05:30,14098.55,14082.49633263212,14082.49633263212,-16.05,STOP_LOSS
long,2021-01-05 14:15:00+05:30,2021-01-05 15:15:00+05:30,14154.9,14207.6,14141.16630486704,52.7,EOD_EXIT
long,2021-01-08 11:05:00+05:30,2021-01-08 15:25:00+05:30,14267.25,14347.642621101819,14347.642621101819,80.39,TRAIL_SL
long,2021-01-11 10:05:00+05:30,2021-01-11 10:15:00+05:30,14446.45,14420.793636322123,14420.793636322123,-25.66,STOP_LOSS
long,2021-01-11 10:35:00+05:30,2021-01-11 15:15:00+05:30,14423.1,14484.1,14395.348359879492,61.0,EOD_EXIT
long,2021-01-12 12:55:00+05:30,2021-01-12 15:15:00+05:30,14527.55,14560.15,14513.375571103756,32.6,EOD_EXIT
long,2021-01-13 09:55:00+05:30,2021-01-13 10:30:00+05:30,14627.1,14608.028086781454,14608.028086781454,-19.07,STOP_LOSS
short,2021-01-13 14:15:00+05:30,2021-01-13 14:25:00+05:30,14489.05,14511.509456729893,14511.509456729893,-22.46,STOP_LOSS
short,2021-01-14 09:55:00+05:30,2021-01-14 10:40:00+05:30,14515.65,14535.447534715,14535.447534715,-19.8,STOP_LOSS
long,2021-01-14 14:05:00+05:30,2021-01-14 15:15:00+05:30,14591.4,14593.7,14575.419600929683,2.3,EOD_EXIT
