direction,entry_time,exit_time,entry_price,exit_price,peak_profit,pnl,exit_reason
short,2023-09-12 09:50:00+05:30,2023-09-12 10:05:00+05:30,19942.25,20013.8,0.0,-71.55,STOP_LOSS
long,2023-09-12 11:30:00+05:30,2023-09-12 12:15:00+05:30,20019.15,19972.55,17.8,-46.6,ST_TRAIL
short,2023-09-13 09:35:00+05:30,2023-09-13 11:20:00+05:30,19957.75,20022.2,2.4,-64.45,STOP_LOSS
long,2023-09-13 13:00:00+05:30,2023-09-13 13:25:00+05:30,20071.65,20057.65,14.65,-14.0,ST_TRAIL
long,2023-09-14 09:40:00+05:30,2023-09-14 10:05:00+05:30,20156.25,20114.9,5.05,-41.35,ST_TRAIL
short,2023-09-14 10:20:00+05:30,2023-09-14 13:05:00+05:30,20082.25,20091.7,23.05,-9.45,ST_TRAIL
short,2023-09-14 14:00:00+05:30,2023-09-14 14:30:00+05:30,20057.1,20084.75,3.45,-27.65,ST_TRAIL
long,2023-09-15 11:05:00+05:30,2023-09-15 12:20:00+05:30,20184.75,20170.05,7.85,-14.7,ST_TRAIL
long,2023-09-15 13:30:00+05:30,2023-09-15 15:15:00+05:30,20171.2,20182.85,44.2,11.65,EOD_EXIT
short,2023-09-18 13:50:00+05:30,2023-09-18 15:15:00+05:30,20155.45,20128.3,28.2,27.15,EOD_EXIT
short,2023-09-20 10:10:00+05:30,2023-09-20 15:15:00+05:30,19969.35,19904.65,76.55,64.7,EOD_EXIT
short,2023-09-21 09:50:00+05:30,2023-09-21 11:05:00+05:30,19787.75,19783.6,45.35,4.15,ST_TRAIL
short,2023-09-22 09:35:00+05:30,2023-09-22 10:35:00+05:30,19759.25,19731.5,85.5,27.75,ST_TRAIL
long,2023-09-22 10:40:00+05:30,2023-09-22 12:55:00+05:30,19749.25,19765.65,40.95,16.4,ST_TRAIL
short,2023-09-22 13:30:00+05:30,2023-09-22 15:15:00+05:30,19711.7,19663.9,47.8,47.8,EOD_EXIT
short,2023-09-25 10:15:00+05:30,2023-09-25 11:50:00+05:30,19632.65,19640.4,24.6,-7.75,ST_TRAIL
long,2023-09-25 13:00:00+05:30,2023-09-25 13:45:00+05:30,19729.2,19680.05,0.0,-49.15,ST_TRAIL
short,2023-09-25 14:10:00+05:30,2023-09-25 14:30:00+05:30,19637.6,19673.8,0.0,-36.2,ST_TRAIL
long,2023-09-26 13:15:00+05:30,2023-09-26 15:15:00+05:30,19656.2,19667.1,23.95,10.9,EOD_EXIT
