direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason,holding_mins,holding_time,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_vix_entry,opt_vix_exit,opt_vix_chg,opt_delta_effect,opt_gamma_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_pnl_total,opt_breakeven_dS
long,A,2023-09-29 12:15:00+05:30,2023-09-29 14:40:00+05:30,19665.55,19707.0,19649.458433586387,19716.03726196633,True,41.45,60.7,13.35,57.6,TRAIL_SL,145,2H:25M,41.45,0.2,0.23316,0.0008,0.0,6.0,,,0.0,8.9085,0.0,51.5431,0.0,0.0,8.9085,8.9085,668.14,50.0,618.14,0.0
short,C,2023-10-03 09:30:00+05:30,2023-10-03 12:15:00+05:30,19516.65,19536.15,19535.82617397076,19535.82617397076,False,-19.5,37.0,21.8,30.7,STOP_LOSS,165,2H:45M,19.5,-0.2,-0.1844,0.0008,0.0,6.0,,,0.0,-3.7631,0.0,11.4075,0.0,0.0,-3.7631,-3.7631,-282.23,50.0,-332.23,0.0
short,C,2023-10-04 09:30:00+05:30,2023-10-04 09:45:00+05:30,19379.3,19411.75,19397.74630116519,19397.74630116519,False,-32.45,2.45,34.2,0.0,STOP_LOSS,15,0H:15M,32.45,-0.2,-0.17404,0.0008,0.0,6.0,,,0.0,-6.1109,0.0,31.5901,0.0,0.0,-6.1109,-6.1109,-458.32,50.0,-508.32,0.0
short,B,2023-10-04 10:20:00+05:30,2023-10-04 10:30:00+05:30,19407.3,19425.6,19419.28752697597,19419.28752697597,False,-18.3,2.8,21.8,2.2,STOP_LOSS,10,0H:10M,18.3,-0.2,-0.18536,0.0008,0.0,6.0,,,0.0,-3.5394,0.0,10.0467,0.0,0.0,-3.5394,-3.5394,-265.46,50.0,-315.46,0.0
short,B,2023-10-04 10:55:00+05:30,2023-10-04 12:00:00+05:30,19419.45,19371.65,19429.974530767275,19369.01784182016,True,47.8,64.4,5.1,58.75,TRAIL_SL,65,1H:05M,-47.8,-0.2,-0.23824,0.0008,0.0,6.0,,,0.0,10.3825,0.0,68.5452,0.0,0.0,10.3825,10.3825,778.69,50.0,728.69,0.0
short,C,2023-10-04 12:00:00+05:30,2023-10-04 14:10:00+05:30,19371.65,19383.7,19382.28452926449,19382.28452926449,False,-12.05,38.05,16.45,29.35,STOP_LOSS,130,2H:10M,12.05,-0.2,-0.19036,0.0008,0.0,6.0,,,0.0,-2.3577,0.0,4.3561,0.0,0.0,-2.3577,-2.3577,-176.83,50.0,-226.83,0.0
long,C,2023-10-05 09:30:00+05:30,2023-10-05 10:25:00+05:30,19535.2,19497.8,19506.860601426357,19506.860601426357,False,-37.4,12.45,42.2,8.55,STOP_LOSS,55,0H:55M,-37.4,0.2,0.17008,0.0008,0.0,6.0,,,0.0,-6.9764,0.0,41.9628,0.0,0.0,-6.9764,-6.9764,-523.23,50.0,-573.23,0.0
long,C,2023-10-05 10:45:00+05:30,2023-10-05 11:30:00+05:30,19525.4,19563.5,19503.19814537824,19565.313525908823,True,38.1,51.55,3.55,48.25,TRAIL_SL,45,0H:45M,38.1,0.2,0.23048,0.0008,0.0,6.0,,,0.0,8.1426,0.0,43.5483,0.0,0.0,8.1426,8.1426,610.69,50.0,560.69,0.0
long,A,2023-10-05 11:30:00+05:30,2023-10-05 12:15:00+05:30,19563.5,19533.65,19547.407696698585,19547.407696698585,False,-29.85,7.3,33.15,3.15,STOP_LOSS,45,0H:45M,-29.85,0.2,0.17612,0.0008,0.0,6.0,,,0.0,-5.6492,0.0,26.7307,0.0,0.0,-5.6492,-5.6492,-423.69,50.0,-473.69,0.0
long,C,2023-10-06 09:30:00+05:30,2023-10-06 11:15:00+05:30,19609.0,19626.75,19586.84381298127,19641.63628485954,True,17.75,49.2,19.6,42.45,TRAIL_SL,105,1H:45M,17.75,0.2,0.2142,0.0008,0.0,6.0,,,0.0,3.6634,0.0,9.4519,0.0,0.0,3.6634,3.6634,274.76,50.0,224.76,0.0
long,C,2023-10-06 11:15:00+05:30,2023-10-06 11:20:00+05:30,19626.75,19609.8,19610.181696666605,19610.181696666605,False,-16.95,2.0,17.2,0.0,STOP_LOSS,5,0H:05M,-16.95,0.2,0.18644,0.0008,0.0,6.0,,,0.0,-3.2866,0.0,8.6191,0.0,0.0,-3.2866,-3.2866,-246.49,50.0,-296.49,0.0
short,C,2023-10-09 09:30:00+05:30,2023-10-09 09:45:00+05:30,19537.6,19561.15,19560.057615991307,19560.057615991307,False,-23.55,7.6,41.05,0.0,STOP_LOSS,15,0H:15M,23.55,-0.2,-0.18116,0.0008,0.0,6.0,,,0.0,-4.5103,0.0,16.6381,0.0,0.0,-4.5103,-4.5103,-338.28,50.0,-388.28,0.0
short,B,2023-10-09 10:00:00+05:30,2023-10-09 10:15:00+05:30,19564.15,19582.55,19581.62576921902,19581.62576921902,False,-18.4,4.65,23.55,0.0,STOP_LOSS,15,0H:15M,18.4,-0.2,-0.18528,0.0008,0.0,6.0,,,0.0,-3.5581,0.0,10.1568,0.0,0.0,-3.5581,-3.5581,-266.86,50.0,-316.86,0.0
