direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
short,B,2026-03-19 09:35:00+05:30,2026-03-19 15:00:00+05:30,23257.25,22990.0,23312.73307836191,23132.55078125,True,267.25,325.3,60.55,EOD_EXIT,2179,2244
short,B,2026-03-20 12:20:00+05:30,2026-03-20 12:35:00+05:30,23155.05078125,23179.347973984026,23179.347973984026,23179.347973984026,False,-24.3,34.7,36.7,STOP_LOSS,2287,2290
short,A,2026-03-20 12:40:00+05:30,2026-03-20 13:00:00+05:30,23205.75,23230.571536913518,23230.571536913518,23230.571536913518,False,-24.82,3.15,43.95,STOP_LOSS,2291,2295
short,B,2026-03-23 09:40:00+05:30,2026-03-23 13:35:00+05:30,22706.400390625,22517.55078125,22756.32054136411,22517.55078125,True,188.85,234.3,0.25,TRAIL_SL,2330,2377
long,B,2026-03-25 09:40:00+05:30,2026-03-25 11:35:00+05:30,23270.900390625,23372.30078125,23208.631998483812,23372.30078125,True,101.4,163.35,24.35,TRAIL_SL,2480,2503
short,B,2026-03-27 09:50:00+05:30,2026-03-27 12:25:00+05:30,23014.94921875,22959.25,23049.370635366817,22959.25,True,55.7,108.55,23.7,TRAIL_SL,2557,2588
short,A,2026-03-30 09:30:00+05:30,2026-03-30 11:35:00+05:30,22683.599609375,22511.30078125,22738.313514756603,22511.30078125,True,172.3,229.6,29.7,TRAIL_SL,2628,2653
short,A,2026-03-30 11:55:00+05:30,2026-03-30 12:00:00+05:30,22484.0,22506.986787162878,22506.986787162878,22506.986787162878,False,-22.99,3.7,76.6,STOP_LOSS,2657,2658
short,B,2026-04-02 09:35:00+05:30,2026-04-02 12:30:00+05:30,22251.44921875,22301.67890951602,22301.67890951602,22301.67890951602,False,-50.23,68.15,68.0,STOP_LOSS,2779,2814
long,B,2026-04-06 12:50:00+05:30,2026-04-06 15:00:00+05:30,22775.25,22959.650390625,22722.757271423143,22890.900390625,True,184.4,193.0,16.8,EOD_EXIT,2893,2919
short,B,2026-04-07 09:40:00+05:30,2026-04-07 09:55:00+05:30,22801.80078125,22846.611179521296,22846.611179521296,22846.611179521296,False,-44.81,0.0,90.85,STOP_LOSS,2930,2933
long,B,2026-04-08 09:35:00+05:30,2026-04-08 11:30:00+05:30,23913.900390625,23976.30078125,23801.671402578577,23976.30078125,True,62.4,100.1,44.8,TRAIL_SL,3004,3027
long,C,2026-04-08 11:35:00+05:30,2026-04-08 13:50:00+05:30,23963.75,23964.75,23908.64772554625,23964.75,True,1.0,60.75,61.5,TRAIL_SL,3028,3055
short,B,2026-04-09 09:40:00+05:30,2026-04-09 10:15:00+05:30,23861.150390625,23858.150390625,23897.505076161062,23858.150390625,True,3.0,100.6,21.9,TRAIL_SL,3080,3087
