direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason,holding_mins,holding_time,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_vix_entry,opt_vix_exit,opt_vix_chg,opt_delta_effect,opt_gamma_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_pnl_total,opt_breakeven_dS
short,C,2026-01-27 10:50:00+05:30,2026-01-27 11:15:00+05:30,24994.69921875,25048.05078125,25031.369774731233,25031.369774731233,False,-53.35,15.65,62.4,11.45,STOP_LOSS,25,0H:25M,53.3516,-0.2,-0.157319,0.0008,-10.0,6.0,14.45,14.45,0.0,-9.6456,0.0,85.3917,-0.6667,0.0,-10.3123,-10.3123,-773.42,50.0,-823.42,-3.3114
short,B,2026-01-27 11:20:00+05:30,2026-01-27 11:35:00+05:30,25039.400390625,25090.5,25068.883401162013,25068.883401162013,False,-51.1,8.45,52.25,0.0,STOP_LOSS,15,0H:15M,51.0996,-0.2,-0.15912,0.0008,-10.0,6.0,14.45,14.45,0.0,-9.2799,0.0,78.3351,-0.4,0.0,-9.6799,-9.6799,-725.99,50.0,-775.99,-1.9921
long,C,2026-01-28 09:30:00+05:30,2026-01-28 10:05:00+05:30,25309.30078125,25252.099609375,25256.668489985022,25256.668489985022,False,-57.2,10.55,64.85,1.8,STOP_LOSS,35,0H:35M,-57.2012,0.2,0.154239,0.0008,-10.0,6.0,13.53,13.53,0.0,-10.2623,0.0,98.1592,-0.9333,0.0,-11.1957,-11.1957,-839.67,50.0,-889.67,4.6239
long,A,2026-01-28 10:15:00+05:30,2026-01-28 11:35:00+05:30,25260.400390625,25309.400390625,25217.93378651898,25324.729290432875,True,49.0,90.65,26.35,77.5,TRAIL_SL,80,1H:20M,49.0,0.2,0.2392,0.0008,-10.0,6.0,13.53,13.53,0.0,10.6644,0.0,72.03,-2.1333,0.0,8.531,8.531,639.83,50.0,589.83,10.4483
long,A,2026-01-28 11:35:00+05:30,2026-01-28 12:25:00+05:30,25309.400390625,25271.80078125,25280.823139875316,25280.823139875316,False,-37.6,30.1,40.4,19.35,STOP_LOSS,50,0H:50M,-37.5996,0.2,0.16992,0.0008,-10.0,6.0,13.53,13.53,0.0,-7.011,0.0,42.4119,-1.3333,0.0,-8.3443,-8.3443,-625.82,50.0,-675.82,6.5801
short,C,2026-01-29 09:40:00+05:30,2026-01-29 11:00:00+05:30,25210.69921875,25238.400390625,25237.300459326438,25237.300459326438,False,-27.7,50.65,36.45,30.0,STOP_LOSS,80,1H:20M,27.7012,-0.2,-0.177839,0.0008,-10.0,6.0,13.37,13.37,0.0,-5.264,0.0,23.0206,-2.1333,0.0,-7.3973,-7.3973,-554.8,50.0,-604.8,-10.4483
long,C,2026-01-29 13:00:00+05:30,2026-01-29 14:00:00+05:30,25351.30078125,25416.900390625,25321.448154977887,25417.807978701185,True,65.6,84.95,23.0,79.6,TRAIL_SL,60,1H:00M,65.5996,0.2,0.25248,0.0008,-10.0,6.0,13.37,13.37,0.0,14.6691,0.0,129.0993,-1.6,0.0,13.0691,13.0691,980.18,50.0,930.18,7.8759
short,C,2026-01-30 09:30:00+05:30,2026-01-30 09:45:00+05:30,25261.400390625,25305.55078125,25294.408489004163,25294.408489004163,False,-44.15,0.2,47.1,0.0,STOP_LOSS,15,0H:15M,44.1504,-0.2,-0.16468,0.0008,-10.0,6.0,13.63,13.63,0.0,-8.1283,0.0,58.4777,-0.4,0.0,-8.5283,-8.5283,-639.63,50.0,-689.63,-1.9921
short,B,2026-01-30 10:00:00+05:30,2026-01-30 13:50:00+05:30,25288.599609375,25329.599609375,25317.887660667722,25317.887660667722,False,-41.0,74.8,50.3,58.8,STOP_LOSS,230,3H:50M,41.0,-0.2,-0.1672,0.0008,-10.0,6.0,13.63,13.63,0.0,-7.5948,0.0,50.43,-6.1333,0.0,-13.7282,-13.7282,-1029.61,50.0,-1079.61,-28.9863
long,C,2026-02-03 09:30:00+05:30,2026-02-03 10:45:00+05:30,25755.150390625,25763.69921875,25613.834607690325,25780.222600347013,True,8.55,66.5,112.8,58.85,TRAIL_SL,75,1H:15M,8.5488,0.2,0.206839,0.0008,-10.0,6.0,12.9,12.9,0.0,1.7361,0.0,2.1925,-2.0,0.0,-0.2639,-0.2639,-19.79,50.0,-69.79,9.8076
