direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,adx_tier,be_triggered,micro_triggered,pnl,mfe_pts,mae_pts,exit_reason
short,2025-06-18 12:00:00+05:30,2025-06-18 12:05:00+05:30,24800.3,24813.910331906933,24813.910331906933,24813.910331906933,3,False,False,-13.61,2.55,21.45,STOP_LOSS
long,2025-06-20 11:25:00+05:30,2025-06-20 11:40:00+05:30,25004.0,25020.554394962248,24981.44733864251,25020.554394962248,3,True,False,16.55,41.0,1.1,TRAIL_SL
long,2025-06-20 13:35:00+05:30,2025-06-20 15:10:00+05:30,25050.25,25119.66460474872,25026.97938900389,25119.66460474872,2,True,True,69.41,82.55,18.85,TRAIL_SL
long,2025-06-24 09:45:00+05:30,2025-06-24 10:20:00+05:30,25138.15,25235.095931947842,25081.718996270658,25235.095931947842,2,True,True,96.95,119.8,0.8,TRAIL_SL
long,2025-06-24 10:35:00+05:30,2025-06-24 11:10:00+05:30,25215.1,25258.29906787364,25176.84297629002,25258.29906787364,2,True,True,43.2,61.35,48.0,TRAIL_SL
long,2025-06-24 12:15:00+05:30,2025-06-24 12:35:00+05:30,25284.8,25259.321259342818,25259.321259342818,25259.321259342818,2,False,False,-25.48,11.0,53.55,STOP_LOSS
long,2025-06-25 10:45:00+05:30,2025-06-25 12:15:00+05:30,25198.4,25189.981102604015,25178.194646249634,25189.981102604015,2,False,True,-8.42,22.1,17.3,MICRO_SL
long,2025-06-26 10:15:00+05:30,2025-06-26 10:40:00+05:30,25380.5,25347.39187932628,25347.39187932628,25347.39187932628,3,False,False,-33.11,7.05,76.45,STOP_LOSS
long,2025-06-27 10:00:00+05:30,2025-06-27 11:15:00+05:30,25556.45,25600.964447364244,25520.62013963838,25600.964447364244,2,True,True,44.51,53.8,16.85,TRAIL_SL
short,2025-06-30 10:55:00+05:30,2025-06-30 11:45:00+05:30,25559.15,25568.277167587024,25572.840751380536,25568.277167587024,2,False,True,-9.13,20.15,11.35,MICRO_SL
