direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,sr_tp,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx,sr_notes
short,B,2023-10-25 11:35:00+05:30,2023-10-25 11:55:00+05:30,19229.25,19244.26835274042,19244.26835274042,19244.26835274042,19184.19494177874,False,-15.02,19.45,24.35,STOP_LOSS,18253,18257,TP=19184 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@19258(str=52)
short,B,2023-10-26 09:35:00+05:30,2023-10-26 11:40:00+05:30,18970.2,18872.6,18992.18057798907,18872.6,18904.25826603279,True,97.6,121.05,0.0,TRAIL_SL,18304,18329,TP=18904 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2023-10-30 09:40:00+05:30,2023-10-30 10:00:00+05:30,18946.5,18967.668888115542,18967.668888115542,18967.668888115542,18882.993335653377,False,-21.17,6.5,39.15,STOP_LOSS,18455,18459,TP=18883 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2023-11-01 10:00:00+05:30,2023-11-01 10:10:00+05:30,19026.15,19042.36247166274,19042.36247166274,19042.36247166274,18977.512585011787,False,-16.21,2.6,19.95,STOP_LOSS,18609,18611,TP=18978 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2023-11-29 09:35:00+05:30,2023-11-29 15:00:00+05:30,20004.6,20092.05,19982.783612933075,20067.15,20070.049161200768,True,87.45,87.8,11.5,EOD_EXIT,19954,20019,TP=20070 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2023-11-30 10:05:00+05:30,2023-11-30 10:15:00+05:30,20037.7,20056.309544885018,20056.309544885018,20056.309544885018,19889.28,False,-18.61,1.65,32.4,STOP_LOSS,20035,20037,TP=19889 RR=7.98 space=163pts opp_str=76 no_align
long,B,2023-12-01 09:50:00+05:30,2023-12-01 15:00:00+05:30,20254.7,20270.9,20227.83558165623,20227.83558165623,20335.293255031313,False,16.2,36.85,19.4,EOD_EXIT,20107,20169,TP=20335 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2023-12-06 09:35:00+05:30,2023-12-06 10:10:00+05:30,20934.35,20900.962704283884,20900.962704283884,20900.962704283884,21034.511887148343,False,-33.39,24.3,39.65,STOP_LOSS,20329,20336,TP=21035 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2023-12-13 09:55:00+05:30,2023-12-13 10:10:00+05:30,20832.5,20850.295413387,20850.295413387,20850.295413387,20181.31,False,-17.8,12.7,20.55,STOP_LOSS,20708,20711,TP=20181 RR=36.59 space=666pts opp_str=57 no_align
long,B,2023-12-14 09:45:00+05:30,2023-12-14 14:05:00+05:30,21153.05,21188.15,21122.01625447123,21188.15,21246.151236586313,True,35.1,57.85,20.95,TRAIL_SL,20781,20833,TP=21246 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2023-12-15 09:55:00+05:30,2023-12-15 10:40:00+05:30,21287.7,21321.675000000003,21259.11525465681,21321.675000000003,21373.454236029578,True,33.98,67.95,3.9,TRAIL_SL,20858,20867,TP=21373 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2023-12-15 14:50:00+05:30,2023-12-15 15:00:00+05:30,21389.5,21426.95,21370.579708304154,21370.579708304154,21446.26087508754,False,37.45,62.45,1.35,EOD_EXIT,20917,20919,TP=21446 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2023-12-20 09:35:00+05:30,2023-12-20 10:00:00+05:30,21590.15,21557.824702902053,21557.824702902053,21557.824702902053,21687.12589129385,False,-32.33,2.85,46.7,STOP_LOSS,21079,21084,TP=21687 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2023-12-27 09:40:00+05:30,2023-12-27 12:15:00+05:30,21556.0,21579.7,21530.675439629173,21579.7,21631.97368111248,True,23.7,47.4,10.05,TRAIL_SL,21380,21411,TP=21632 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2023-12-28 09:45:00+05:30,2023-12-28 10:00:00+05:30,21753.2,21722.34616370644,21722.34616370644,21722.34616370644,21845.76150888069,False,-30.85,5.85,53.55,STOP_LOSS,21456,21459,TP=21846 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-01-12 10:05:00+05:30,2024-01-12 15:00:00+05:30,21814.05,21892.55,21785.17257692471,21885.0,21900.68226922587,True,78.5,114.2,16.2,EOD_EXIT,22285,22344,TP=21901 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-02-02 11:30:00+05:30,2024-02-02 11:45:00+05:30,22068.45,22097.625,22038.55565699742,22097.625,22158.133029007735,False,29.17,58.35,4.75,STOP_LOSS,23352,23355,TP=22158 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-02-02 11:45:00+05:30,2024-02-02 12:20:00+05:30,22080.4,22046.877383236544,22046.877383236544,22046.877383236544,22180.96785029037,False,-33.52,13.75,61.85,STOP_LOSS,23355,23362,TP=22181 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-02-05 09:50:00+05:30,2024-02-05 10:15:00+05:30,21953.6,21911.211041267306,21911.211041267306,21911.211041267306,22080.766876198075,False,-42.39,9.5,91.4,STOP_LOSS,23407,23412,TP=22081 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-02-07 09:35:00+05:30,2024-02-07 09:40:00+05:30,22012.65,21975.68046301406,21975.68046301406,21975.68046301406,22123.558610957818,False,-36.97,8.15,47.6,STOP_LOSS,23554,23555,TP=22124 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-02-23 09:35:00+05:30,2024-02-23 10:35:00+05:30,22259.2,22219.099306696913,22219.099306696913,22219.099306696913,22379.502079909264,False,-40.1,21.55,53.2,STOP_LOSS,24454,24466,TP=22380 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-03-01 11:35:00+05:30,2024-03-01 15:00:00+05:30,22286.7,22346.6,22259.54720745703,22317.550000000003,22368.158377628908,True,59.9,63.4,18.5,EOD_EXIT,24853,24894,TP=22368 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-03-06 14:30:00+05:30,2024-03-06 15:00:00+05:30,22443.25,22469.2,22412.865873065173,22412.865873065173,22534.402380804477,False,25.95,30.2,12.6,EOD_EXIT,25134,25140,TP=22534 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-03-20 10:10:00+05:30,2024-03-20 10:55:00+05:30,21765.05,21737.625,21790.562404709442,21737.625,21648.45,False,27.42,54.85,33.9,STOP_LOSS,25757,25766,TP=21648 RR=4.57 space=132pts opp_str=64 SUP@21801(str=65)
long,B,2024-03-28 14:15:00+05:30,2024-03-28 14:55:00+05:30,22483.95,22458.691146658133,22458.691146658133,22458.691146658133,22559.726560025607,False,-25.26,32.05,67.9,STOP_LOSS,26181,26189,TP=22560 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-04-04 13:25:00+05:30,2024-04-04 15:00:00+05:30,22544.8,22510.75760649612,22510.75760649612,22510.75760649612,22646.927180511633,False,-34.04,35.4,58.1,STOP_LOSS,26471,26490,TP=22647 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@22523(str=62)
long,B,2024-04-08 09:35:00+05:30,2024-04-08 13:25:00+05:30,22619.9,22673.85,22590.339213763815,22673.85,22708.582358708565,True,53.95,77.4,33.3,TRAIL_SL,26575,26621,TP=22709 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-04-12 09:40:00+05:30,2024-04-12 10:40:00+05:30,22640.55,22663.256797413473,22663.256797413473,22663.256797413473,22544.43,False,-22.71,14.05,25.4,STOP_LOSS,26801,26813,TP=22544 RR=4.23 space=111pts opp_str=77 no_align
long,B,2024-04-25 14:15:00+05:30,2024-04-25 14:35:00+05:30,22567.55,22595.375,22531.795290739963,22595.375,22674.814127780108,True,27.83,58.4,0.0,TRAIL_SL,27456,27460,TP=22675 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@22529(str=68)
short,B,2024-05-13 09:35:00+05:30,2024-05-13 10:05:00+05:30,21885.95,21857.175000000003,21914.007969253376,21857.175000000003,21794.08,False,28.77,57.55,15.9,STOP_LOSS,28225,28231,TP=21794 RR=3.27 space=107pts opp_str=66 no_align
long,B,2024-05-23 11:55:00+05:30,2024-05-23 13:15:00+05:30,22760.4,22808.6,22735.01836148508,22808.6,22836.54491554477,True,48.2,91.6,15.55,TRAIL_SL,28799,28815,TP=22837 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@22727(str=62)
long,B,2024-05-23 14:15:00+05:30,2024-05-23 15:00:00+05:30,22927.4,22956.3,22896.59444383441,22896.59444383441,23019.81666849678,False,28.9,32.3,35.55,EOD_EXIT,28827,28836,TP=23020 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-05-27 11:55:00+05:30,2024-05-27 14:35:00+05:30,23068.4,23046.16865956808,23046.16865956808,23046.16865956808,23135.094021295765,False,-22.23,42.4,38.1,STOP_LOSS,28949,28981,TP=23135 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-06-03 09:55:00+05:30,2024-06-03 13:35:00+05:30,23163.15,23205.85,23070.688339797558,23205.85,23440.534980607335,True,42.7,85.3,28.7,TRAIL_SL,29300,29344,TP=23441 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-06-06 10:00:00+05:30,2024-06-06 11:30:00+05:30,22784.75,22863.3,22709.21212213155,22863.3,23011.363633605346,True,78.55,125.4,22.45,TRAIL_SL,29526,29544,TP=23011 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-06-07 09:40:00+05:30,2024-06-07 10:15:00+05:30,22942.5,22973.675,22892.886624582454,22973.675,23091.340126252642,False,31.17,62.35,38.15,STOP_LOSS,29597,29604,TP=23091 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-06-07 10:25:00+05:30,2024-06-07 15:00:00+05:30,22989.85,23290.3,22939.45897084643,23221.95,23141.023087460708,True,300.45,330.35,11.65,EOD_EXIT,29606,29661,TP=23141 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-06-12 09:40:00+05:30,2024-06-12 10:05:00+05:30,23372.9,23396.625,23340.21564305275,23396.625,23470.95307084176,False,23.72,47.45,6.05,STOP_LOSS,29822,29827,TP=23471 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-06-19 10:25:00+05:30,2024-06-19 10:55:00+05:30,23447.35,23472.801657738408,23472.801657738408,23472.801657738408,23318.68,False,-25.45,34.45,70.9,STOP_LOSS,30131,30137,TP=23319 RR=5.06 space=144pts opp_str=74 no_align
short,B,2024-06-24 09:35:00+05:30,2024-06-24 09:50:00+05:30,23369.1,23401.334953771566,23401.334953771566,23401.334953771566,22794.52,False,-32.23,19.1,46.3,STOP_LOSS,30346,30349,TP=22795 RR=17.82 space=590pts opp_str=67 no_align
long,B,2024-06-26 11:30:00+05:30,2024-06-26 15:00:00+05:30,23824.35,23864.2,23799.56929686538,23854.925,23898.692109403855,True,39.85,61.15,33.2,EOD_EXIT,30519,30561,TP=23899 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-06-27 10:00:00+05:30,2024-06-27 10:30:00+05:30,23951.05,23911.203810023355,23911.203810023355,23911.203810023355,24070.588569929936,False,-39.85,23.65,59.5,STOP_LOSS,30576,30582,TP=24071 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-06-28 09:35:00+05:30,2024-06-28 12:15:00+05:30,24143.1,24102.13348387953,24102.13348387953,24102.13348387953,24265.9995483614,False,-40.97,30.9,70.4,STOP_LOSS,30646,30678,TP=24266 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-07-03 09:40:00+05:30,2024-07-03 15:00:00+05:30,24283.35,24269.9,24243.18586483441,24243.18586483441,24403.84240549677,False,-13.45,23.9,47.1,EOD_EXIT,30872,30936,TP=24404 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-07-04 09:40:00+05:30,2024-07-04 10:20:00+05:30,24392.55,24361.961265615446,24361.961265615446,24361.961265615446,24484.31620315366,False,-30.59,8.45,55.4,STOP_LOSS,30947,30955,TP=24484 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-07-18 09:35:00+05:30,2024-07-18 09:40:00+05:30,24523.7,24542.84975546886,24542.84975546886,24542.84975546886,24418.82,False,-19.15,1.45,57.2,STOP_LOSS,31621,31622,TP=24419 RR=5.48 space=120pts opp_str=65 no_align
short,B,2024-07-19 10:10:00+05:30,2024-07-19 10:20:00+05:30,24685.85,24706.52880857319,24706.52880857319,24706.52880857319,24418.82,False,-20.68,7.45,32.75,STOP_LOSS,31703,31705,TP=24419 RR=12.91 space=282pts opp_str=65 no_align
long,B,2024-07-26 12:30:00+05:30,2024-07-26 14:20:00+05:30,24692.25,24771.55,24672.166750809378,24771.55,24752.499747571863,True,79.3,126.0,9.45,TRAIL_SL,32106,32128,TP=24752 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@24661(str=67)
long,B,2024-07-29 11:30:00+05:30,2024-07-29 12:10:00+05:30,24973.35,24950.703835328535,24950.703835328535,24950.703835328535,25041.28849401439,False,-22.65,26.4,93.15,STOP_LOSS,32169,32177,TP=25041 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-08-02 09:40:00+05:30,2024-08-02 10:35:00+05:30,24761.5,24792.665862370155,24792.665862370155,24792.665862370155,24674.57,False,-31.17,37.8,48.1,STOP_LOSS,32447,32458,TP=24675 RR=2.79 space=102pts opp_str=67 no_align
short,B,2024-08-05 11:30:00+05:30,2024-08-05 11:40:00+05:30,23948.2,23995.729408190382,23995.729408190382,23995.729408190382,22096.6,False,-47.53,12.85,84.3,STOP_LOSS,32544,32546,TP=22097 RR=38.96 space=1867pts opp_str=64 no_align
long,B,2024-08-26 09:35:00+05:30,2024-08-26 10:25:00+05:30,24967.85,25005.824999999997,24936.396983185758,25005.824999999997,25062.209050442718,True,37.97,75.95,3.05,TRAIL_SL,33571,33581,TP=25062 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-08-28 11:40:00+05:30,2024-08-28 12:40:00+05:30,25104.15,25098.9,25079.58399696048,25079.58399696048,25177.84800911857,False,-5.25,9.9,23.35,NO_PROGRESS,33746,33758,TP=25178 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-09-12 14:20:00+05:30,2024-09-12 15:00:00+05:30,25248.9,25414.45,25200.788438974472,25299.675000000003,25393.234683076585,True,165.55,165.55,10.25,EOD_EXIT,34603,34611,TP=25393 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
