direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason
long,A,2026-02-23 10:25:00+05:30,2026-02-23 10:40:00+05:30,25705.55078125,25656.80078125,25682.47720343419,25682.47720343419,False,-48.75,4.1,50.4,0.0,STOP_LOSS
short,C,2026-02-24 09:30:00+05:30,2026-02-24 12:55:00+05:30,25513.900390625,25404.69921875,25531.45903781701,25404.634937375176,True,109.2,126.45,21.7,121.35,TRAIL_SL
long,C,2026-02-25 09:30:00+05:30,2026-02-25 10:40:00+05:30,25579.05078125,25619.900390625,25550.960323290226,25631.413984404924,True,40.85,73.45,19.9,64.25,TRAIL_SL
long,C,2026-02-25 10:40:00+05:30,2026-02-25 11:30:00+05:30,25619.900390625,25602.150390625,25603.06724300059,25603.06724300059,False,-17.75,10.9,22.3,1.15,STOP_LOSS
long,C,2026-02-26 09:30:00+05:30,2026-02-26 11:40:00+05:30,25518.80078125,25461.349609375,25491.993446974415,25491.993446974415,False,-57.45,53.45,60.2,44.5,STOP_LOSS
short,C,2026-02-27 09:30:00+05:30,2026-02-27 11:40:00+05:30,25367.19921875,25295.099609375,25385.11162070365,25293.35784573682,True,72.1,95.0,16.45,85.35,TRAIL_SL
short,C,2026-03-02 09:30:00+05:30,2026-03-02 09:55:00+05:30,24974.55078125,24945.099609375,25016.408829560965,24926.12216717678,True,29.45,91.35,14.2,90.4,TRAIL_SL
short,B,2026-03-02 10:30:00+05:30,2026-03-02 14:00:00+05:30,24872.69921875,24687.30078125,24894.820309228955,24628.92959534157,True,185.4,268.75,5.9,257.95,TRAIL_SL
short,C,2026-03-04 09:30:00+05:30,2026-03-04 09:40:00+05:30,24332.349609375,24408.75,24377.360395262407,24377.360395262407,False,-76.4,15.2,79.65,0.0,STOP_LOSS
short,B,2026-03-04 10:05:00+05:30,2026-03-04 10:10:00+05:30,24367.94921875,24413.650390625,24398.111134978244,24398.111134978244,False,-45.7,16.9,46.85,0.0,STOP_LOSS
short,B,2026-03-04 10:35:00+05:30,2026-03-04 11:00:00+05:30,24390.099609375,24420.69921875,24413.541576296873,24413.541576296873,False,-30.6,14.4,37.7,0.0,STOP_LOSS
long,C,2026-03-05 09:30:00+05:30,2026-03-05 10:10:00+05:30,24564.5,24596.25,24522.063926348605,24619.86258961265,True,31.75,92.0,33.8,84.4,TRAIL_SL
long,C,2026-03-05 10:35:00+05:30,2026-03-05 11:40:00+05:30,24627.69921875,24590.349609375,24594.387439324113,24594.387439324113,False,-37.35,44.8,39.15,38.85,STOP_LOSS
