bar_open,bar_close,direction,signal_type,confidence,entry,stop,target_1,target_2,target_3,exit_price,exit_reason,r_multiple,size,t1_hit,t2_hit
50770,50806,long,failure_test,0.72,24843.3,24764.4758,24922.1242,25000.9484,25079.7726,24786.4,time_stop,-0.722,17.0,False,False
50842,50878,long,failed_breakout,0.55,24684.5,24587.5383,24781.4617,24693.955,24704.65,24692.05,time_stop,0.078,13.0,False,False
50899,50917,long,failure_test,0.79,24802.95,24836.751,24836.751,24870.5519,24904.3529,24836.751,stop,1.0,39.0,True,True
50938,50941,long,failure_test,0.8,24816.35,24839.028,24839.028,24861.706,24884.384,24884.384,target_3,3.0,61.0,True,True
50968,50984,long,failure_test,0.65,24854.95,24854.95,24887.6138,24920.2777,24952.9415,24854.95,stop,0.0,48.0,True,False
51030,51030,short,failure_test,0.79,24827.9,24860.095,24795.705,24763.5101,24731.3151,24860.095,stop,-1.0,49.0,False,False
51040,51043,short,failure_test,0.74,24910.75,24954.6695,24866.8305,24822.9111,24778.9916,24954.6695,stop,-1.0,34.0,False,False
51155,51155,long,failure_test,0.74,24644.95,24610.428,24679.472,24713.9941,24748.5161,24610.428,stop,-1.0,41.0,False,False
51185,51186,short,failure_test,0.78,24693.25,24712.3254,24674.1746,24655.0992,24636.0239,24712.3254,stop,-1.0,71.0,False,False
51190,51192,short,failure_test,0.77,24693.65,24675.0133,24675.0133,24656.3765,24637.7398,24675.0133,stop,1.0,69.0,True,True
51195,51220,long,failed_breakout,0.5,24701.35,24633.9177,24768.7823,24706.045,24721.9,24633.9177,stop,-1.0,20.0,False,False
51221,51257,short,failure_test,0.78,24631.95,24683.33,24580.57,24529.1901,24477.8101,24649.95,time_stop,-0.35,25.0,False,False
51308,51328,short,failure_test,0.68,24569.0,24608.2899,24529.7101,24490.4202,24451.1303,24608.2899,stop,-1.0,32.0,False,False
51374,51410,short,pullback,0.59,24506.05,24461.4433,24461.4433,24462.1948,19570.1848,24435.5,time_stop,1.582,27.0,True,True
51446,51482,short,failure_test,0.69,24517.55,24517.55,24459.1582,24400.7664,24342.3746,24436.75,time_stop,1.384,22.0,True,False
51493,51500,short,failed_breakout,0.55,24450.1,24410.2463,24410.2463,24428.01,24410.55,24410.55,target_3,0.992,35.0,True,True
51521,51557,long,failure_test,0.6,24376.05,24376.05,24443.0759,24510.1017,24577.1276,24460.65,time_stop,1.262,21.0,True,False
51593,51606,long,failure_test,0.6,24609.9,24609.9,24661.6277,24713.3553,24765.083,24609.9,stop,0.0,30.0,True,False
51652,51654,long,pullback,0.62,24533.05,24533.05,24542.3694,24590.973,29509.623,24533.05,stop,0.0,166.0,True,False
51662,51666,short,failure_test,0.63,24490.2,24536.504,24443.896,24397.592,24351.288,24536.504,stop,-1.0,33.0,False,False
51667,51703,long,failed_breakout,0.55,24566.2,24453.7165,24678.6835,24594.44,24570.2,24592.7,time_stop,0.236,13.0,False,False
51804,51805,short,failure_test,0.61,24627.1,24627.1,24599.4538,24571.8075,24544.1613,24627.1,stop,0.0,54.0,True,False
52259,52266,short,failed_breakout,0.5,24981.2,24933.7723,24933.7723,24965.68,24973.0,24973.0,target_3,0.173,31.0,True,True
52267,52303,short,breakout,0.65,24846.6,24846.6,24831.8529,24677.8391,24592.6989,24810.2,time_stop,2.468,102.0,True,False
52324,52326,short,pullback,0.76,24802.4,24773.3548,24773.3548,24778.4843,19823.4443,24773.3548,stop,1.0,58.0,True,True
52329,52365,short,pullback,0.75,24787.6,24743.6386,24743.6386,24777.7675,19822.7275,24650.3,time_stop,3.123,40.0,True,True
52641,52641,long,breakout,0.45,24616.5,24583.6899,24649.3101,24653.9555,24676.4819,24583.6899,stop,-1.0,62.0,False,False
52646,52651,short,failure_test,0.64,24553.4,24606.9629,24499.8371,24446.2741,24392.7112,24606.9629,stop,-1.0,36.0,False,False
52662,52677,long,breakout,0.45,24573.1,24603.0381,24603.0381,24611.8529,24634.3536,24634.3536,target_3,2.046,61.0,True,True
52898,52900,short,pullback,0.53,24815.5,24834.3044,24796.6956,24633.6845,19707.2945,24834.3044,stop,-1.0,108.0,False,False
52933,52969,short,failed_breakout,0.45,24781.35,24894.6861,24668.0139,24721.225,24732.1,24845.25,time_stop,-0.564,17.0,False,False
