direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,sr_tp,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx,sr_notes
short,B,2024-12-06 10:15:00+05:30,2024-12-06 10:20:00+05:30,24628.4,24665.46830015762,24665.46830015762,24665.46830015762,24518.07,False,-37.07,2.05,98.45,STOP_LOSS,183044,183045,TP=24518 RR=2.98 space=125pts opp_str=66 no_align
short,B,2024-12-09 10:00:00+05:30,2024-12-09 10:45:00+05:30,24605.8,24627.955279768692,24627.955279768692,24627.955279768692,24518.07,False,-22.16,25.75,40.25,STOP_LOSS,183116,183125,TP=24518 RR=3.96 space=103pts opp_str=66 no_align
short,B,2024-12-20 09:55:00+05:30,2024-12-20 10:15:00+05:30,23847.9,23893.693042538544,23893.693042538544,23893.693042538544,23710.520872384375,False,-45.79,40.6,112.9,STOP_LOSS,183790,183794,TP=23711 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-12-23 12:35:00+05:30,2024-12-23 12:40:00+05:30,23716.65,23736.31698809585,23736.31698809585,23736.31698809585,23657.649035712457,False,-19.67,2.15,24.8,STOP_LOSS,183897,183898,TP=23658 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2025-01-02 13:15:00+05:30,2025-01-02 13:55:00+05:30,24106.6,24129.25,24073.5652429369,24129.25,24222.64,False,22.65,45.3,22.5,STOP_LOSS,184430,184438,TP=24223 RR=3.51 space=131pts opp_str=71 SUP@24073(str=70)
short,B,2025-01-10 09:45:00+05:30,2025-01-10 10:05:00+05:30,23419.3,23387.199999999997,23448.748535885836,23387.199999999997,23330.95439234249,False,32.1,74.95,13.85,STOP_LOSS,184838,184842,TP=23331 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-01-10 14:20:00+05:30,2025-01-10 15:00:00+05:30,23420.15,23398.85,23442.49243247222,23442.49243247222,23353.122702583347,False,21.3,23.3,25.95,EOD_EXIT,184893,184901,TP=23353 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-01-13 09:35:00+05:30,2025-01-13 10:00:00+05:30,23219.75,23257.94659775299,23257.94659775299,23257.94659775299,23105.160206741024,False,-38.2,23.3,54.85,STOP_LOSS,184911,184916,TP=23105 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-01-17 09:35:00+05:30,2025-01-17 10:25:00+05:30,23197.85,23228.113950822146,23228.113950822146,23228.113950822146,23107.058147533557,False,-30.26,27.25,66.3,STOP_LOSS,185211,185221,TP=23107 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-01-24 14:35:00+05:30,2025-01-24 14:55:00+05:30,23105.1,23077.55,23128.274633451252,23077.55,23035.576099646238,False,27.55,55.1,7.55,STOP_LOSS,185646,185650,TP=23036 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-01-27 10:15:00+05:30,2025-01-27 10:45:00+05:30,22900.5,22863.675,22929.64845318898,22863.675,22813.054640433056,False,36.83,73.65,9.0,STOP_LOSS,185669,185675,TP=22813 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-02-12 09:35:00+05:30,2025-02-12 10:30:00+05:30,22924.95,22861.65,22953.25057804948,22861.65,22840.04826585157,True,63.3,126.6,7.35,TRAIL_SL,186636,186647,TP=22840 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-02-14 12:00:00+05:30,2025-02-14 13:15:00+05:30,22850.1,22812.475,22878.703670091374,22812.475,22764.288989725872,False,37.62,75.25,16.85,STOP_LOSS,186815,186830,TP=22764 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-02-17 09:35:00+05:30,2025-02-17 10:25:00+05:30,22776.3,22817.185223871697,22817.185223871697,22817.185223871697,22653.644328384904,False,-40.89,36.1,51.55,STOP_LOSS,186861,186871,TP=22654 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-02-20 09:45:00+05:30,2025-02-20 09:50:00+05:30,22825.2,22851.319171516636,22851.319171516636,22851.319171516636,22746.8424854501,False,-26.12,1.8,43.2,STOP_LOSS,187088,187089,TP=22747 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-02-21 09:40:00+05:30,2025-02-21 10:30:00+05:30,22843.5,22788.4,22860.460971061755,22788.4,22792.61708681473,True,55.1,110.2,9.45,TRAIL_SL,187162,187172,TP=22793 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-02-24 09:35:00+05:30,2025-02-24 11:45:00+05:30,22586.25,22613.91814058164,22613.91814058164,22613.91814058164,22503.245578255075,False,-27.67,37.9,33.8,STOP_LOSS,187236,187262,TP=22503 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-02-28 09:35:00+05:30,2025-02-28 12:25:00+05:30,22266.5,22242.0,22296.62381975322,22242.0,22176.12854074035,False,24.5,49.0,34.0,STOP_LOSS,187461,187495,TP=22176 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-02-28 12:35:00+05:30,2025-02-28 13:45:00+05:30,22184.35,22144.75,22201.29096266151,22144.75,22133.527112015465,True,39.6,79.2,1.55,TRAIL_SL,187497,187511,TP=22134 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-03-03 09:55:00+05:30,2025-03-03 10:15:00+05:30,22067.5,22039.875,22097.988897400595,22039.875,21976.033307798214,False,27.62,55.25,4.7,STOP_LOSS,187540,187544,TP=21976 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2025-03-05 11:35:00+05:30,2025-03-05 12:55:00+05:30,22329.8,22362.35,22309.151949923704,22362.35,22803.75,True,32.55,65.1,9.35,TRAIL_SL,187710,187726,TP=22804 RR=22.95 space=489pts opp_str=67 no_align
long,B,2025-03-06 12:50:00+05:30,2025-03-06 14:25:00+05:30,22468.8,22498.875,22438.65887283326,22498.875,22803.75,True,30.08,60.15,22.35,TRAIL_SL,187800,187819,TP=22804 RR=11.11 space=350pts opp_str=67 no_align
long,B,2025-03-07 10:05:00+05:30,2025-03-07 11:25:00+05:30,22584.9,22609.35,22540.663785573815,22609.35,22803.75,False,24.45,48.9,17.05,STOP_LOSS,187842,187858,TP=22804 RR=4.95 space=234pts opp_str=67 no_align
long,B,2025-03-10 09:40:00+05:30,2025-03-10 10:25:00+05:30,22653.85,22619.488339967236,22619.488339967236,22619.488339967236,22803.75,False,-34.36,22.9,49.8,STOP_LOSS,187912,187921,TP=22804 RR=4.36 space=165pts opp_str=67 no_align
