direction,entry_time,exit_time,entry_price,exit_price,stop_loss_at_exit,pnl,exit_reason
short,2026-02-06 10:15:00+05:30,2026-02-06 11:10:00+05:30,25544.849609375,25566.94553793794,25566.94553793794,-22.1,STOP_LOSS
long,2026-02-09 10:10:00+05:30,2026-02-09 15:15:00+05:30,25801.599609375,25868.650390625,25770.07502580519,67.05,EOD_EXIT
long,2026-02-10 10:40:00+05:30,2026-02-10 13:20:00+05:30,25960.69921875,25941.339846018796,25941.339846018796,-19.36,STOP_LOSS
short,2026-02-12 09:55:00+05:30,2026-02-12 10:10:00+05:30,25865.099609375,25880.712240263983,25880.712240263983,-15.61,STOP_LOSS
short,2026-02-12 10:30:00+05:30,2026-02-12 14:50:00+05:30,25872.80078125,25772.305442681463,25772.305442681463,100.5,TRAIL_SL
short,2026-02-13 10:25:00+05:30,2026-02-13 10:35:00+05:30,25548.94921875,25567.40599673665,25567.40599673665,-18.46,STOP_LOSS
short,2026-02-13 10:50:00+05:30,2026-02-13 12:20:00+05:30,25559.849609375,25576.154861978204,25576.154861978204,-16.31,STOP_LOSS
short,2026-02-13 14:15:00+05:30,2026-02-13 15:15:00+05:30,25527.94921875,25485.05078125,25542.404817504317,42.9,EOD_EXIT
short,2026-02-19 14:20:00+05:30,2026-02-20 09:15:00+05:30,25580.94921875,25426.293293919098,25426.293293919098,154.66,TRAIL_SL
long,2026-02-23 10:10:00+05:30,2026-02-23 10:40:00+05:30,25717.849609375,25681.962149454237,25681.962149454237,-35.89,STOP_LOSS
short,2026-02-24 10:35:00+05:30,2026-02-24 11:35:00+05:30,25504.0,25521.007178024745,25521.007178024745,-17.01,STOP_LOSS
short,2026-02-24 13:00:00+05:30,2026-02-24 14:10:00+05:30,25421.900390625,25436.74138092852,25436.74138092852,-14.84,STOP_LOSS
short,2026-02-25 13:45:00+05:30,2026-02-25 14:15:00+05:30,25467.400390625,25484.07329192817,25484.07329192817,-16.67,STOP_LOSS
short,2026-02-26 13:30:00+05:30,2026-02-26 14:10:00+05:30,25432.849609375,25450.102223929975,25450.102223929975,-17.25,STOP_LOSS
short,2026-02-27 10:35:00+05:30,2026-03-02 09:30:00+05:30,25335.30078125,24939.054503190186,24939.054503190186,396.25,TRAIL_SL
short,2026-03-02 10:55:00+05:30,2026-03-02 14:00:00+05:30,24855.150390625,24628.92959534157,24628.92959534157,226.22,TRAIL_SL
short,2026-03-04 10:20:00+05:30,2026-03-04 11:05:00+05:30,24399.349609375,24440.71108397237,24440.71108397237,-41.36,STOP_LOSS
short,2026-03-04 11:15:00+05:30,2026-03-04 13:10:00+05:30,24412.05078125,24438.292907594892,24438.292907594892,-26.24,STOP_LOSS
short,2026-03-05 14:30:00+05:30,2026-03-05 14:35:00+05:30,24582.5,24607.801590951287,24607.801590951287,-25.3,STOP_LOSS
short,2026-03-06 14:05:00+05:30,2026-03-06 14:15:00+05:30,24584.900390625,24603.080604920673,24603.080604920673,-18.18,STOP_LOSS
short,2026-03-09 10:40:00+05:30,2026-03-09 10:50:00+05:30,23782.099609375,23816.359994019513,23816.359994019513,-34.26,STOP_LOSS
short,2026-03-09 11:10:00+05:30,2026-03-09 11:25:00+05:30,23818.599609375,23854.602423676723,23854.602423676723,-36.0,STOP_LOSS
short,2026-03-11 10:55:00+05:30,2026-03-11 12:00:00+05:30,24102.94921875,23998.14083208178,23998.14083208178,104.81,TRAIL_SL
short,2026-03-11 12:10:00+05:30,2026-03-11 14:25:00+05:30,24011.599609375,23916.191383518035,23916.191383518035,95.41,TRAIL_SL
short,2026-03-11 14:35:00+05:30,2026-03-11 15:15:00+05:30,23936.80078125,23874.55078125,23962.740529969353,62.25,EOD_EXIT
