bar_index,time,open,high,low,close,candle_range,avg_range_lookback,range_std_dev,min_range_window,max_range_window,compression_ratio,compression_pct,atr,atr_pct_of_close,body_ratio,wick_ratio,candle_direction,zone_type,zone_score,is_progressive_squeeze,prior_trend,price_vs_sma20,resistance_level,support_level,range_above_support,range_below_resist,volume_ratio_vs_avg,candles_to_breakout,breakout_direction,breakout_magnitude,max_move_next_5,max_move_next_10
4667,05-03-2025 10:40,22269.35,22284.7,22269.15,22282.7,15.55,23.13,3.989,18.45,31.55,0.6723,67.2%,23.6153,0.11%,0.859,0.141,Bullish,Moderate Contraction,31.1,False,Uptrend,Above SMA20,22280.75,22211.1,71.6,-1.95,N/A,1,Upside Breakout,6.2,16.1,19.45
4670,05-03-2025 10:55,22283.7,22288.35,22276.0,22284.35,12.35,21.045,3.5655,15.55,26.65,0.5868,58.7%,20.9259,0.09%,0.053,0.947,Bullish,Moderate Contraction,38.7,False,Uptrend,Above SMA20,22286.95,22211.1,73.25,2.6,N/A,1,Upside Breakout,9.4,13.75,69.3
4673,05-03-2025 11:10,22274.25,22283.95,22274.1,22282.35,9.85,18.51,4.3644,12.35,26.65,0.5321,53.2%,18.2595,0.08%,0.822,0.178,Bullish,Moderate Contraction,39.5,False,Uptrend,Above SMA20,22296.35,22211.1,71.25,14.0,N/A,4,Upside Breakout,5.8,47.45,92.7
4684,05-03-2025 12:05,22354.65,22359.95,22353.1,22355.7,6.85,16.995,5.9741,8.3,29.1,0.4031,40.3%,16.5965,0.07%,0.153,0.847,Bullish,Moderate Contraction,45.5,False,Uptrend,Above SMA20,22375.05,22277.0,78.7,19.35,N/A,5,Upside Breakout,19.85,39.2,39.2
4698,05-03-2025 13:15,22348.4,22359.8,22347.4,22352.9,12.4,18.925,5.0897,12.4,26.25,0.6552,65.5%,17.449,0.08%,0.363,0.637,Bullish,Mild Contraction,29.0,False,Downtrend,Below SMA20,22394.9,22333.1,19.8,42.0,N/A,3,Downside Breakdown,2.7,51.15,51.15
4708,05-03-2025 14:05,22319.7,22327.85,22316.85,22322.15,11.0,18.525,4.967,12.4,25.15,0.5938,59.4%,17.831,0.08%,0.223,0.777,Bullish,Moderate Contraction,33.6,False,Downtrend,Below SMA20,22363.05,22301.75,20.4,40.9,N/A,2,Downside Breakdown,7.9,29.85,31.7
4715,05-03-2025 14:40,22336.0,22343.45,22332.5,22337.9,10.95,19.765,7.4095,11.0,32.85,0.554,55.4%,18.8323,0.08%,0.174,0.826,Bullish,Moderate Contraction,34.3,False,Uptrend,Above SMA20,22339.45,22292.3,45.6,1.55,N/A,1,Upside Breakout,7.0,15.95,153.4
4718,05-03-2025 14:55,22349.75,22350.6,22338.1,22343.55,12.5,19.15,7.7218,10.95,32.85,0.6527,65.3%,18.9435,0.08%,0.496,0.504,Bearish,Mild Contraction,23.2,False,Uptrend,Above SMA20,22353.85,22292.3,51.25,10.3,N/A,7,Upside Breakout,137.45,18.95,147.75
4723,05-03-2025 15:20,22333.35,22337.1,22329.3,22332.2,7.8,16.19,6.5097,7.65,29.25,0.4818,48.2%,15.0071,0.07%,0.147,0.853,Bearish,Moderate Contraction,38.6,False,Uptrend,Above SMA20,22353.85,22309.35,22.85,21.65,N/A,2,Upside Breakout,137.45,159.1,159.1
4734,06-03-2025 10:00,22313.55,22327.05,22305.1,22321.85,21.95,52.76,25.0602,20.05,88.75,0.416,41.6%,43.0182,0.19%,0.378,0.622,Bullish,Strong Contraction,61.2,True,Downtrend,Below SMA20,22491.3,22245.85,76.0,169.45,N/A,,,,44.5,56.65
