direction,entry_time,exit_time,entry_price,exit_price,vwap_at_entry,price_vs_vwap,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason
short,2025-02-11 10:25:00+05:30,2025-02-11 13:15:00+05:30,23289.0,23051.251177613893,23306.4,-17.4,23306.62185303051,23051.251177613893,True,237.75,266.55,12.75,TRAIL_SL
short,2025-02-11 14:30:00+05:30,2025-02-11 14:50:00+05:30,23040.55,23066.840464262277,23208.04,-167.49,23066.840464262277,23066.840464262277,False,-26.29,30.95,73.4,STOP_LOSS
short,2025-02-11 14:55:00+05:30,2025-02-11 15:00:00+05:30,23055.75,23081.4,23196.66,-140.91,23087.64055114052,23087.64055114052,False,-25.65,2.1,31.1,SOFT_EOD_EXIT
short,2025-02-12 10:25:00+05:30,2025-02-12 10:30:00+05:30,22857.85,22887.53669833139,22900.37,-42.52,22887.53669833139,22887.53669833139,False,-29.69,7.7,32.9,STOP_LOSS
short,2025-02-13 14:45:00+05:30,2025-02-13 15:00:00+05:30,23043.6,23024.75,23146.35,-102.75,23064.940944468435,23064.940944468435,False,18.85,24.35,20.2,SOFT_EOD_EXIT
short,2025-02-17 10:05:00+05:30,2025-02-17 10:25:00+05:30,22779.0,22813.173971873883,22789.71,-10.71,22813.173971873883,22813.173971873883,False,-34.17,29.0,48.85,STOP_LOSS
short,2025-02-28 14:20:00+05:30,2025-02-28 14:40:00+05:30,22137.7,22154.536533613595,22217.11,-79.41,22154.536533613595,22154.536533613595,False,-16.84,12.75,35.6,STOP_LOSS
long,2025-03-06 14:15:00+05:30,2025-03-06 15:00:00+05:30,22506.7,22550.6,22407.99,98.71,22483.18838764802,22483.18838764802,False,43.9,49.75,15.55,SOFT_EOD_EXIT
long,2025-03-10 10:10:00+05:30,2025-03-10 12:00:00+05:30,22631.75,22599.98619287431,22622.33,9.42,22599.98619287431,22599.98619287431,False,-31.76,18.75,40.65,STOP_LOSS
long,2025-03-13 10:20:00+05:30,2025-03-13 10:55:00+05:30,22532.65,22504.004359926646,22510.36,22.29,22504.004359926646,22504.004359926646,False,-28.65,14.55,46.8,STOP_LOSS
long,2025-03-20 14:15:00+05:30,2025-03-20 15:00:00+05:30,23181.9,23192.5,23082.08,99.82,23161.836412330977,23161.836412330977,False,10.6,34.8,4.45,SOFT_EOD_EXIT
long,2025-03-24 14:30:00+05:30,2025-03-24 15:00:00+05:30,23674.95,23654.187265880722,23605.92,69.03,23654.187265880722,23654.187265880722,False,-20.76,8.4,45.0,STOP_LOSS
long,2025-03-25 10:15:00+05:30,2025-03-25 10:35:00+05:30,23798.2,23749.653379309268,23783.99,14.21,23749.653379309268,23749.653379309268,False,-48.55,28.15,92.3,STOP_LOSS
short,2025-03-26 14:20:00+05:30,2025-03-26 15:00:00+05:30,23545.75,23489.7,23622.03,-76.28,23562.52510968268,23562.52510968268,False,56.05,94.05,6.75,SOFT_EOD_EXIT
short,2025-04-01 10:15:00+05:30,2025-04-01 12:10:00+05:30,23480.15,23197.746914525906,23487.76,-7.61,23510.580464192837,23197.746914525906,True,282.4,307.05,3.55,TRAIL_SL
short,2025-04-01 14:25:00+05:30,2025-04-01 15:00:00+05:30,23154.75,23158.55,23271.57,-116.82,23171.074111793976,23171.074111793976,False,-3.8,11.1,19.35,SOFT_EOD_EXIT
short,2025-04-04 14:15:00+05:30,2025-04-04 15:00:00+05:30,22913.85,22902.25,22973.29,-59.44,22930.195389048247,22930.195389048247,False,11.6,56.4,3.5,SOFT_EOD_EXIT
long,2025-04-08 14:30:00+05:30,2025-04-08 15:00:00+05:30,22600.3,22529.976978158094,22501.75,98.55,22529.976978158094,22529.976978158094,False,-70.32,5.3,75.25,STOP_LOSS
long,2025-04-16 10:10:00+05:30,2025-04-16 10:15:00+05:30,23355.8,23332.193241520657,23342.21,13.59,23332.193241520657,23332.193241520657,False,-23.61,3.15,47.05,STOP_LOSS
long,2025-04-17 14:15:00+05:30,2025-04-17 15:00:00+05:30,23828.0,23855.8,23576.97,251.03,23792.08003633726,23792.08003633726,False,27.8,44.35,13.5,SOFT_EOD_EXIT
long,2025-04-21 10:15:00+05:30,2025-04-21 11:30:00+05:30,24021.0,24113.401866865934,24004.27,16.73,23980.473750089965,24113.401866865934,True,92.4,111.75,11.7,TRAIL_SL
long,2025-04-23 14:45:00+05:30,2025-04-23 15:00:00+05:30,24299.1,24331.15,24246.6,52.5,24280.17230848662,24280.17230848662,False,32.05,32.95,0.0,SOFT_EOD_EXIT
long,2025-05-02 10:20:00+05:30,2025-05-02 10:30:00+05:30,24551.3,24510.781375900846,24523.47,27.83,24510.781375900846,24510.781375900846,False,-40.52,5.6,66.55,STOP_LOSS
