direction,entry_time,exit_time,entry_price,exit_price,sl_initial,sl_final,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
long,2025-04-25 12:55:00+05:30,2025-04-25 14:00:00+05:30,24026.45,24128.3752296579,23984.335973307072,24128.3752296579,True,101.93,124.2,13.4,TRAIL_SL,7094,7107
long,2025-04-28 09:30:00+05:30,2025-04-28 10:20:00+05:30,24184.3,24252.528724785618,24120.87342803314,24252.528724785618,True,68.23,98.7,10.85,TRAIL_SL,7128,7138
short,2025-04-28 14:35:00+05:30,2025-04-28 14:50:00+05:30,24281.55,24296.23410805019,24296.23410805019,24296.23410805019,False,-14.68,20.65,32.05,STOP_LOSS,7189,7192
long,2025-04-30 09:45:00+05:30,2025-04-30 10:25:00+05:30,24381.55,24340.97028630169,24340.97028630169,24340.97028630169,False,-40.58,13.65,51.0,STOP_LOSS,7281,7289
long,2025-05-02 09:30:00+05:30,2025-05-02 10:15:00+05:30,24525.0,24560.033874490207,24456.721124802927,24560.033874490207,True,35.03,64.15,20.35,TRAIL_SL,7353,7362
short,2025-05-05 11:50:00+05:30,2025-05-05 11:55:00+05:30,24422.8,24440.49644715628,24440.49644715628,24440.49644715628,False,-17.7,4.05,23.55,STOP_LOSS,7456,7457
long,2025-05-07 09:30:00+05:30,2025-05-07 09:45:00+05:30,24447.4,24396.493361224624,24396.493361224624,24396.493361224624,False,-50.91,2.2,112.2,STOP_LOSS,7578,7581
short,2025-05-13 09:30:00+05:30,2025-05-13 09:35:00+05:30,24743.25,24783.360750427943,24783.360750427943,24783.360750427943,False,-40.11,0.0,103.35,STOP_LOSS,7878,7879
short,2025-05-15 09:35:00+05:30,2025-05-15 10:30:00+05:30,24564.05,24588.545499190786,24588.545499190786,24588.545499190786,False,-24.5,69.6,63.2,STOP_LOSS,8029,8040
short,2025-05-16 09:50:00+05:30,2025-05-16 10:00:00+05:30,24979.15,25007.370392845565,25007.370392845565,25007.370392845565,False,-28.22,1.35,49.75,STOP_LOSS,8107,8109
long,2025-05-21 09:35:00+05:30,2025-05-21 10:55:00+05:30,24808.75,24915.232356785793,24765.009835044377,24915.232356785793,True,106.48,137.45,17.1,TRAIL_SL,8329,8345
short,2025-05-21 12:00:00+05:30,2025-05-21 13:15:00+05:30,24781.55,24803.646949275237,24803.646949275237,24803.646949275237,False,-22.1,96.2,49.5,STOP_LOSS,8358,8373
short,2025-05-22 09:30:00+05:30,2025-05-22 09:40:00+05:30,24548.95,24581.966336902366,24581.966336902366,24581.966336902366,False,-33.02,7.35,67.1,STOP_LOSS,8403,8405
long,2025-05-22 14:55:00+05:30,2025-05-22 15:00:00+05:30,24616.8,24595.3,24568.264602183113,24568.264602183113,False,-21.5,0.8,21.9,SOFT_EOD_EXIT,8468,8469
long,2025-05-27 11:30:00+05:30,2025-05-27 11:45:00+05:30,25021.55,24955.187880079247,24955.187880079247,24955.187880079247,False,-66.36,6.45,108.45,STOP_LOSS,8652,8655
short,2025-06-02 14:30:00+05:30,2025-06-02 14:50:00+05:30,24664.45,24679.80393501006,24679.80393501006,24679.80393501006,False,-15.35,9.65,22.35,STOP_LOSS,8988,8992
short,2025-06-03 09:30:00+05:30,2025-06-03 09:35:00+05:30,24627.05,24660.020749048806,24660.020749048806,24660.020749048806,False,-32.97,4.85,64.65,STOP_LOSS,9003,9004
long,2025-06-06 10:05:00+05:30,2025-06-06 12:00:00+05:30,24794.6,25012.677789859656,24747.48118542733,25012.677789859656,True,218.08,234.9,70.7,TRAIL_SL,9235,9258
short,2025-06-11 13:25:00+05:30,2025-06-11 15:00:00+05:30,25171.65,25146.4,25182.26579517028,25182.26579517028,False,25.25,63.5,2.15,SOFT_EOD_EXIT,9500,9519
long,2025-06-12 09:30:00+05:30,2025-06-12 09:35:00+05:30,25189.05,25166.442512325968,25166.442512325968,25166.442512325968,False,-22.61,7.15,42.75,STOP_LOSS,9528,9529
short,2025-06-12 09:40:00+05:30,2025-06-12 12:10:00+05:30,25103.5,25034.99409858206,25123.432626158086,25034.99409858206,True,68.51,94.15,23.05,TRAIL_SL,9530,9560
long,2025-06-13 12:15:00+05:30,2025-06-13 12:30:00+05:30,24723.95,24702.055410434634,24702.055410434634,24702.055410434634,False,-21.89,0.0,27.85,STOP_LOSS,9636,9639
long,2025-06-18 14:55:00+05:30,2025-06-18 15:00:00+05:30,24816.15,24808.4,24796.460030951734,24796.460030951734,False,-7.75,13.5,8.05,SOFT_EOD_EXIT,9893,9894
short,2025-06-20 12:30:00+05:30,2025-06-20 12:35:00+05:30,24966.35,24980.871758227637,24980.871758227637,24980.871758227637,False,-14.52,1.75,20.65,STOP_LOSS,10014,10015
short,2025-06-23 09:30:00+05:30,2025-06-23 09:35:00+05:30,24863.0,24895.532412246084,24895.532412246084,24895.532412246084,False,-32.53,0.0,32.6,STOP_LOSS,10053,10054
long,2025-06-23 11:30:00+05:30,2025-06-23 13:45:00+05:30,24953.25,25019.69193802486,24931.523806046178,25019.69193802486,True,66.44,92.8,24.45,TRAIL_SL,10077,10104
short,2025-06-30 09:40:00+05:30,2025-06-30 13:30:00+05:30,25590.4,25510.939145577006,25609.789537353718,25510.939145577006,True,79.46,99.9,9.6,TRAIL_SL,10430,10476
long,2025-07-08 14:55:00+05:30,2025-07-08 15:00:00+05:30,25482.3,25504.05,25467.39010032133,25467.39010032133,False,21.75,23.45,5.45,SOFT_EOD_EXIT,10943,10944
long,2025-07-14 14:50:00+05:30,2025-07-14 15:00:00+05:30,25083.55,25078.0,25064.52189188021,25064.52189188021,False,-5.55,24.95,8.75,SOFT_EOD_EXIT,11242,11244
long,2025-07-16 11:50:00+05:30,2025-07-16 11:55:00+05:30,25209.65,25190.000703970487,25190.000703970487,25190.000703970487,False,-19.65,0.35,28.2,STOP_LOSS,11356,11357
short,2025-07-21 09:30:00+05:30,2025-07-21 09:40:00+05:30,24891.15,24912.354216586195,24912.354216586195,24912.354216586195,False,-21.2,0.25,53.35,STOP_LOSS,11553,11555
long,2025-07-21 10:05:00+05:30,2025-07-21 11:40:00+05:30,25055.8,25020.4366257041,25020.4366257041,25020.4366257041,False,-35.36,23.7,55.7,STOP_LOSS,11560,11579
short,2025-07-24 09:45:00+05:30,2025-07-24 11:45:00+05:30,25175.95,25107.789082723895,25188.888722067906,25107.789082723895,True,68.16,86.3,6.95,TRAIL_SL,11781,11805
long,2025-07-28 10:15:00+05:30,2025-07-28 10:35:00+05:30,24866.3,24832.53167842981,24832.53167842981,24832.53167842981,False,-33.77,22.9,38.85,STOP_LOSS,11937,11941
long,2025-07-29 09:50:00+05:30,2025-07-29 10:10:00+05:30,24723.1,24686.513329622816,24686.513329622816,24686.513329622816,False,-36.59,4.05,59.25,STOP_LOSS,12007,12011
short,2025-07-31 14:50:00+05:30,2025-07-31 15:00:00+05:30,24836.75,24790.65,24858.546597490014,24858.546597490014,False,46.1,49.9,26.8,SOFT_EOD_EXIT,12217,12219
short,2025-08-05 09:35:00+05:30,2025-08-05 12:10:00+05:30,24633.45,24652.1231952255,24652.1231952255,24652.1231952255,False,-18.67,40.3,35.25,STOP_LOSS,12379,12410
long,2025-08-05 12:10:00+05:30,2025-08-05 12:50:00+05:30,24658.1,24637.102845259655,24637.102845259655,24637.102845259655,False,-21.0,6.95,37.15,STOP_LOSS,12410,12418
long,2025-08-07 14:15:00+05:30,2025-08-08 09:15:00+05:30,24467.3,24614.250324271972,24438.587244690665,24614.250324271972,True,146.95,166.9,30.35,TRAIL_SL,12585,12600
long,2025-08-12 12:35:00+05:30,2025-08-12 12:50:00+05:30,24637.4,24609.104528099117,24609.104528099117,24609.104528099117,False,-28.3,2.95,39.65,STOP_LOSS,12790,12793
long,2025-08-18 09:30:00+05:30,2025-08-18 11:55:00+05:30,24988.55,24930.972783412002,24930.972783412002,24930.972783412002,False,-57.58,33.45,73.0,STOP_LOSS,12978,13007
short,2025-08-18 11:55:00+05:30,2025-08-18 12:55:00+05:30,24916.8,24929.55178865782,24929.55178865782,24929.55178865782,False,-12.75,63.95,25.4,STOP_LOSS,13007,13019
short,2025-08-22 14:15:00+05:30,2025-08-22 15:00:00+05:30,24908.0,24870.05,24917.109318448212,24917.109318448212,False,37.95,42.3,5.15,SOFT_EOD_EXIT,13335,13344
