Date,Price,Open,High,Low,Vol.,Change %
14-03-2012,24.72,24.75,25.09,23.03,,-0.12%
15-03-2012,25.42,24.72,25.64,24.04,,2.83%
16-03-2012,23.13,25.42,25.42,22.58,,-9.01%
19-03-2012,22.97,23.13,23.82,22.79,,-0.69%
20-03-2012,21.94,22.97,22.97,21.36,,-4.48%
21-03-2012,21,21.94,21.99,21,,-4.28%
22-03-2012,24.77,21,24.77,20.59,,17.95%
23-03-2012,23.34,24.77,24.77,22.89,,-5.77%
26-03-2012,26.74,23.34,27.45,22.4,,14.57%
27-03-2012,25.05,26.74,27.13,24.32,,-6.32%
28-03-2012,24.87,25.05,25.83,24.82,,-0.72%
29-03-2012,24.33,24.87,25.86,24.19,,-2.17%
30-03-2012,22.38,24.33,24.33,22.07,,-8.01%
02-04-2012,20.88,22.86,22.94,20.88,,-6.70%
03-04-2012,20.01,20.88,20.88,19.93,,-4.17%
04-04-2012,20.63,20.01,20.85,20.01,,3.10%
09-04-2012,22.33,20.63,22.44,20.63,,8.24%
10-04-2012,21.92,22.33,22.81,21.73,,-1.84%
11-04-2012,22.29,21.92,22.75,21.65,,1.69%
12-04-2012,21.78,22.29,22.29,21.72,,-2.29%
13-04-2012,22.75,19.86,23.16,19.86,,4.45%
16-04-2012,22.23,22.75,23.29,22.23,,-2.29%
17-04-2012,20.31,22.23,22.75,20.29,,-8.64%
18-04-2012,20.03,18.93,20.2,18.93,,-1.38%
19-04-2012,19.35,20.03,20.03,18.99,,-3.39%
20-04-2012,20.09,19.35,20.75,19.02,,3.82%
23-04-2012,21.57,20.09,21.57,19.71,,7.37%
24-04-2012,19.25,21.57,21.57,19.13,,-10.76%
25-04-2012,18.94,17.76,20.4,17.76,,-1.61%
26-04-2012,18.74,19.33,19.45,18.31,,-1.06%
27-04-2012,17.89,18.74,19.18,17.85,,-4.54%
30-04-2012,17.82,17.61,18.52,17.61,,-0.39%
02-05-2012,18.54,17.82,18.61,17.82,,4.04%
03-05-2012,19.25,18.54,19.82,18.54,,3.83%
04-05-2012,21.12,19.25,21.45,19.25,,9.71%
07-05-2012,20.22,21.12,23.23,20.18,,-4.26%
08-05-2012,22.16,20.22,22.3,19.65,,9.59%
09-05-2012,23.04,22.16,23.87,22.06,,3.97%
10-05-2012,22.72,23.04,23.64,22.07,,-1.39%
11-05-2012,22.48,22.72,23.93,22.35,,-1.06%
14-05-2012,23.26,22.48,23.52,22.48,,3.47%
15-05-2012,22.28,23.26,23.26,22.2,,-4.21%
16-05-2012,23.71,22.28,24.54,22.28,,6.42%
17-05-2012,23.59,23.71,24.27,22.21,,-0.51%
18-05-2012,23.55,23.59,25.45,22.57,,-0.17%
21-05-2012,23.92,23.55,24.35,23.2,,1.57%
22-05-2012,24.39,23.92,24.63,22.6,,1.96%
23-05-2012,27.13,24.39,27.2,23.21,,11.23%
24-05-2012,25.49,27.13,27.13,24,,-6.04%
25-05-2012,25.14,25.49,26.6,24.06,,-1.37%
28-05-2012,23.68,25.14,25.4,23.59,,-5.81%
29-05-2012,24.03,23.68,24.33,22.7,,1.48%
30-05-2012,25.3,24.03,25.54,23.29,,5.29%
31-05-2012,25.25,25.3,25.97,24.99,,-0.20%
01-06-2012,26.77,25.25,26.77,24.88,,6.02%
04-06-2012,25.6,26.77,28.65,25.6,,-4.37%
05-06-2012,26.26,25.6,26.69,24.27,,2.58%
06-06-2012,24.9,26.26,26.26,24.26,,-5.18%
07-06-2012,23.64,24.9,25.06,23.34,,-5.06%
08-06-2012,23.47,23.64,24.75,23.45,,-0.72%
11-06-2012,25.02,23.47,25.02,23.47,,6.60%
12-06-2012,24.2,25.02,25.43,23.94,,-3.28%
13-06-2012,24.36,24.2,25.32,23.53,,0.66%
14-06-2012,25.71,24.36,25.82,23.4,,5.54%
15-06-2012,25.54,25.71,25.92,24.49,,-0.66%
18-06-2012,22.6,25.54,25.54,22.25,,-11.51%
19-06-2012,21.43,22.6,22.6,21.04,,-5.18%
20-06-2012,21.03,21.43,21.72,20.11,,-1.87%
21-06-2012,19.94,21.03,21.22,19.43,,-5.18%
22-06-2012,20.58,19.94,21.52,19.61,,3.21%
25-06-2012,21.57,20.58,21.63,20.04,,4.81%
26-06-2012,20.23,21.57,21.76,20.04,,-6.21%
27-06-2012,20.37,20.23,20.81,19.39,,0.69%
28-06-2012,20.62,20.37,20.73,19.53,,1.23%
29-06-2012,19.08,20.62,20.62,18.8,,-7.47%
02-07-2012,19.01,19.08,19.7,18.79,,-0.37%
03-07-2012,18.56,19.01,19.01,18.14,,-2.37%
04-07-2012,18.27,18.56,18.83,17.48,,-1.56%
05-07-2012,18.35,18.27,18.7,18.09,,0.44%
06-07-2012,18.04,18.35,18.63,18.04,,-1.69%
09-07-2012,18.72,18.04,19.09,18.04,,3.77%
10-07-2012,17.83,18.72,18.87,17.8,,-4.75%
11-07-2012,18.39,17.83,18.57,17.8,,3.14%
12-07-2012,18.71,18.39,19.31,18.02,,1.74%
13-07-2012,18.26,18.71,18.71,17.62,,-2.41%
16-07-2012,18.77,18.26,19.01,18.08,,2.79%
17-07-2012,17.78,18.77,18.77,17.72,,-5.27%
18-07-2012,17.44,17.78,17.83,17.06,,-1.91%
19-07-2012,16.38,17.44,17.44,16.33,,-6.08%
20-07-2012,16.89,16.38,17.31,15.84,,3.11%
23-07-2012,18.66,16.89,18.67,16.89,,10.48%
24-07-2012,16.97,18.66,18.66,16.56,,-9.06%
25-07-2012,16.75,16.97,18.14,16.48,,-1.30%
26-07-2012,16.37,16.75,17.58,15.92,,-2.27%
27-07-2012,16.44,16.37,16.75,15.42,,0.43%
30-07-2012,16.6,16.44,17.32,16.43,,0.97%
31-07-2012,16.01,16.6,17.13,15.93,,-3.55%
01-08-2012,16.45,16.01,16.48,15.86,,2.75%
02-08-2012,16.77,16.45,16.91,16.45,,1.95%
03-08-2012,16.12,16.77,16.96,16.12,,-3.88%
06-08-2012,16.22,16.12,16.51,15.68,,0.62%
07-08-2012,16.21,16.22,16.33,15.74,,-0.06%
08-08-2012,16.37,16.21,16.74,15.51,,0.99%
09-08-2012,16.33,16.37,16.77,16.04,,-0.24%
10-08-2012,16.07,16.33,16.51,16.03,,-1.59%
13-08-2012,16.01,16.07,16.65,16,,-0.37%
14-08-2012,15.64,16.01,16.15,15.57,,-2.31%
16-08-2012,15.69,15.64,16.13,15.07,,0.32%
17-08-2012,15.73,15.69,16.02,15.21,,0.25%
21-08-2012,16.3,15.73,16.49,15.71,,3.62%
22-08-2012,16,16.3,16.53,15.79,,-1.84%
23-08-2012,16.12,16,16.36,15.44,,0.75%
24-08-2012,16.16,16.12,16.8,15.66,,0.25%
27-08-2012,16.47,16.16,17.03,14.68,,1.92%
28-08-2012,16.35,16.47,16.76,15.8,,-0.73%
29-08-2012,16.74,16.35,16.9,15.64,,2.39%
30-08-2012,16.67,16.74,17.04,16.55,,-0.42%
31-08-2012,17.3,16.67,17.35,16.59,,3.78%
03-09-2012,17.28,17.3,17.5,16.86,,-0.12%
04-09-2012,16.59,17.28,17.28,16.59,,-3.99%
05-09-2012,17.01,16.59,17.15,16.19,,2.53%
06-09-2012,16.98,17.01,17.07,16.23,,-0.18%
07-09-2012,15.26,16.98,16.98,15.2,,-10.13%
08-09-2012,14.76,15.26,15.26,14.45,,-3.28%
10-09-2012,15.27,14.76,15.46,14.76,,3.46%
11-09-2012,15.38,15.27,15.51,15.1,,0.72%
12-09-2012,15.04,15.38,15.66,14.64,,-2.21%
13-09-2012,15.67,15.04,15.83,14.62,,4.19%
14-09-2012,15.38,15.67,15.67,13.86,,-1.85%
17-09-2012,17.78,15.38,17.81,15.38,,15.60%
18-09-2012,17.83,17.78,18.09,16.17,,0.28%
20-09-2012,18.62,17.83,18.81,17.13,,4.43%
21-09-2012,18.93,18.62,19.45,17.09,,1.66%
24-09-2012,18.83,18.93,19.83,18.46,,-0.53%
25-09-2012,17.11,18.83,18.83,17.11,,-9.13%
26-09-2012,16.97,17.11,17.3,16.62,,-0.82%
27-09-2012,16.91,16.97,17.09,15.73,,-0.35%
28-09-2012,16.16,16.91,16.91,16.13,,-4.44%
01-10-2012,16.34,16.16,16.77,15.99,,1.11%
03-10-2012,16.5,16.34,16.98,15.69,,0.98%
04-10-2012,16.44,16.5,16.62,15.59,,-0.36%
05-10-2012,16.78,16.44,17.49,15.68,,2.07%
08-10-2012,17.17,16.78,17.59,16.17,,2.32%
09-10-2012,16.8,17.17,17.17,16.32,,-2.15%
10-10-2012,16.83,16.8,17.16,16.5,,0.18%
11-10-2012,16.49,16.83,17.24,16.12,,-2.02%
12-10-2012,16.49,16.49,16.82,15.37,,0.00%
15-10-2012,15.9,16.49,16.68,15.78,,-3.58%
16-10-2012,15.57,15.9,15.9,14.82,,-2.08%
17-10-2012,15.17,15.57,15.57,14.36,,-2.57%
18-10-2012,14.76,15.17,15.17,14.15,,-2.70%
19-10-2012,14.54,14.76,15.19,13.95,,-1.49%
22-10-2012,13.04,14.34,14.37,12.87,,-10.32%
23-10-2012,13.71,13.04,14.22,12.93,,5.14%
25-10-2012,13.52,13.71,14.55,13.4,,-1.39%
26-10-2012,14.21,13.52,14.81,13.52,,5.10%
29-10-2012,15.12,14.21,15.37,14.21,,6.40%
30-10-2012,15.17,15.12,15.55,15.09,,0.33%
31-10-2012,14.4,15.17,15.18,14.31,,-5.08%
01-11-2012,14.08,14.4,14.67,14.01,,-2.22%
02-11-2012,13.66,14.08,14.08,13.25,,-2.98%
05-11-2012,14.63,13.66,14.98,13.49,,7.10%
06-11-2012,15.21,14.63,15.64,13.83,,3.96%
07-11-2012,14.51,15.21,15.39,14.41,,-4.60%
08-11-2012,14.22,14.51,14.57,13.86,,-2.00%
09-11-2012,14.37,14.22,14.8,13.57,,1.05%
12-11-2012,14.86,14.37,15.11,13.75,,3.41%
13-11-2012,14.91,14.86,14.91,13.93,,0.34%
15-11-2012,15.53,14.91,16.36,13.85,,4.16%
16-11-2012,16.22,15.53,16.27,14.13,,4.44%
19-11-2012,16.68,16.22,17.22,14.71,,2.84%
20-11-2012,15.81,16.68,16.68,14.72,,-5.22%
21-11-2012,15.46,15.81,16.03,14.82,,-2.21%
22-11-2012,14.91,15.46,15.55,14.65,,-3.56%
23-11-2012,14.68,14.91,15.01,13.42,,-1.54%
26-11-2012,14.67,14.68,14.94,14.09,,-0.07%
27-11-2012,13.96,14.67,14.68,13.39,,-4.84%
29-11-2012,15.37,13.96,15.62,13.48,,10.10%
30-11-2012,15.15,15.37,15.38,14.06,,-1.43%
03-12-2012,15.62,15.15,15.72,14.54,,3.10%
04-12-2012,15.91,15.62,16.17,14.62,,1.86%
05-12-2012,16.62,15.91,16.72,14.79,,4.46%
06-12-2012,15.24,16.62,16.62,15.02,,-8.30%
07-12-2012,14.96,15.24,15.51,14.42,,-1.84%
