Datetime,Adj Close,Close,High,Low,Open,Volume
2026-06-22 11:20:00+05:30,24151.40039,24151.40039,24155,24150.30078,24152,0
2026-06-22 11:21:00+05:30,24147.55078,24147.55078,24154,24147.55078,24151.44922,0
2026-06-22 11:22:00+05:30,24142.84961,24142.84961,24149.25,24141.40039,24147.59961,0
2026-06-22 11:23:00+05:30,24147.69922,24147.69922,24148.94922,24142.55078,24143.55078,0
2026-06-22 11:24:00+05:30,24152.19922,24152.19922,24153.40039,24146.80078,24147.84961,0
2026-06-22 11:25:00+05:30,24154.69922,24154.69922,24155.19922,24149.44922,24151.40039,0
2026-06-22 11:26:00+05:30,24157,24157,24157.90039,24153.44922,24154.59961,0
2026-06-22 11:27:00+05:30,24159.44922,24159.44922,24160.59961,24154.84961,24156.5,0
2026-06-22 11:28:00+05:30,24159.90039,24159.90039,24163.09961,24157.30078,24159.90039,0
2026-06-22 11:29:00+05:30,24160.65039,24160.65039,24162.25,24156.75,24159.09961,0
2026-06-22 11:30:00+05:30,24161.30078,24161.30078,24163.55078,24158.44922,24161.30078,0
2026-06-22 11:31:00+05:30,24161.59961,24161.59961,24164.05078,24160.15039,24161.30078,0
2026-06-22 11:32:00+05:30,24161.69922,24161.69922,24164.40039,24159.80078,24161.25,0
2026-06-22 11:33:00+05:30,24162.84961,24162.84961,24166.05078,24160.44922,24161.5,0
2026-06-22 11:34:00+05:30,24161.84961,24161.84961,24165.59961,24161.25,24162.05078,0
2026-06-22 11:35:00+05:30,24163.80078,24163.80078,24164.69922,24160.55078,24161.90039,0
2026-06-22 11:36:00+05:30,24161.15039,24161.15039,24165.09961,24160.09961,24163.65039,0
2026-06-22 11:37:00+05:30,24159,24159,24162.44922,24157.55078,24161.19922,0
2026-06-22 11:38:00+05:30,24158.05078,24158.05078,24161.09961,24156.59961,24159.05078,0
2026-06-22 11:39:00+05:30,24158.40039,24158.40039,24159.84961,24155.59961,24158.09961,0
2026-06-22 11:40:00+05:30,24157.30078,24157.30078,24159.34961,24154.59961,24158.15039,0
2026-06-22 11:41:00+05:30,24150.59961,24150.59961,24157.90039,24149.34961,24157.15039,0
2026-06-22 11:42:00+05:30,24148.84961,24148.84961,24153.30078,24147.40039,24150.44922,0
2026-06-22 11:43:00+05:30,24150.19922,24150.19922,24152.84961,24145.69922,24150.05078,0
2026-06-22 11:44:00+05:30,24148.34961,24148.34961,24154.19922,24148.19922,24150.55078,0
2026-06-22 11:45:00+05:30,24148.09961,24148.09961,24151,24146.09961,24148.15039,0
2026-06-22 11:46:00+05:30,24147.25,24147.25,24149.75,24145.09961,24149.34961,0
2026-06-22 11:47:00+05:30,24149.44922,24149.44922,24151.94922,24147.25,24147.84961,0
2026-06-22 11:48:00+05:30,24149.90039,24149.90039,24152.55078,24147.44922,24149.25,0
2026-06-22 11:49:00+05:30,24147.59961,24147.59961,24151.80078,24145.59961,24149.75,0
2026-06-22 11:50:00+05:30,24145.5,24145.5,24148.90039,24142.40039,24146.15039,0
2026-06-22 11:51:00+05:30,24139.84961,24139.84961,24147.69922,24138.90039,24146,0
2026-06-22 11:52:00+05:30,24139.65039,24139.65039,24143.55078,24137.09961,24139.94922,0
2026-06-22 11:53:00+05:30,24139.30078,24139.30078,24141.55078,24137.65039,24141.55078,0
2026-06-22 11:54:00+05:30,24134.09961,24134.09961,24141.30078,24133.40039,24139.30078,0
2026-06-22 11:55:00+05:30,24133.09961,24133.09961,24136.44922,24132.65039,24134.44922,0
2026-06-22 11:56:00+05:30,24134.94922,24134.94922,24135.75,24132.15039,24133.15039,0
2026-06-22 11:57:00+05:30,24130.59961,24130.59961,24135.55078,24129.65039,24134.05078,0
2026-06-22 11:58:00+05:30,24135.84961,24135.84961,24136.75,24132.19922,24133,0
2026-06-22 11:59:00+05:30,24140.40039,24140.40039,24141.59961,24135.44922,24135.65039,0
2026-06-22 12:00:00+05:30,24137.75,24137.75,24142.15039,24137.69922,24140.44922,0
2026-06-22 12:01:00+05:30,24132.65039,24132.65039,24139.15039,24131.59961,24139.15039,0
2026-06-22 12:02:00+05:30,24127.44922,24127.44922,24133.55078,24126.40039,24132.09961,0
2026-06-22 12:03:00+05:30,24128,24128,24130.84961,24126.05078,24127.5,0
2026-06-22 12:04:00+05:30,24124.15039,24124.15039,24129.5,24123.09961,24128.09961,0
2026-06-22 12:05:00+05:30,24124.30078,24124.30078,24127.55078,24121.80078,24125.05078,0
2026-06-22 12:06:00+05:30,24123.75,24123.75,24126.30078,24121,24124.15039,0
2026-06-22 12:07:00+05:30,24126.40039,24126.40039,24126.40039,24122.19922,24124.30078,0
2026-06-22 12:08:00+05:30,24126.19922,24126.19922,24128.19922,24123.09961,24125.69922,0
2026-06-22 12:09:00+05:30,24123.69922,24123.69922,24126.44922,24122.25,24125.80078,0
2026-06-22 12:10:00+05:30,24124.5,24124.5,24125.59961,24121.55078,24124.05078,0
2026-06-22 12:11:00+05:30,24123,24123,24125.19922,24121.19922,24124.19922,0
2026-06-22 12:12:00+05:30,24123.05078,24123.05078,24125,24120.44922,24121.90039,0
2026-06-22 12:13:00+05:30,24122.30078,24122.30078,24125.05078,24119.75,24122.30078,0
2026-06-22 12:14:00+05:30,24118.19922,24118.19922,24122.59961,24117.84961,24121.34961,0
2026-06-22 12:15:00+05:30,24118.44922,24118.44922,24120.40039,24116.75,24117.65039,0
2026-06-22 12:16:00+05:30,24118.59961,24118.59961,24120.44922,24116.15039,24118.05078,0
2026-06-22 12:17:00+05:30,24121.05078,24121.05078,24122.15039,24117.5,24118.44922,0
2026-06-22 12:18:00+05:30,24123.09961,24123.09961,24124.44922,24119.19922,24120.5,0
2026-06-22 12:19:00+05:30,24122.69922,24122.69922,24127.25,24120.25,24123.44922,0
2026-06-22 12:20:00+05:30,24123.05078,24123.05078,24123.84961,24120.25,24123.05078,0
2026-06-22 12:21:00+05:30,24124.44922,24124.44922,24124.44922,24118.40039,24122.65039,0
2026-06-22 12:22:00+05:30,24126.59961,24126.59961,24128.59961,24122.75,24124.05078,0
2026-06-22 12:23:00+05:30,24127.5,24127.5,24128.80078,24124.44922,24126.44922,0
2026-06-22 12:24:00+05:30,24125.59961,24125.59961,24129.15039,24125.34961,24127.90039,0
2026-06-22 12:25:00+05:30,24125.09961,24125.09961,24127.40039,24123.09961,24125.55078,0
2026-06-22 12:26:00+05:30,24122.34961,24122.34961,24126.34961,24121.25,24124.84961,0
2026-06-22 12:27:00+05:30,24114.80078,24114.80078,24123.59961,24114.34961,24121.19922,0
2026-06-22 12:28:00+05:30,24115.65039,24115.65039,24117.09961,24112.34961,24115,0
2026-06-22 12:29:00+05:30,24119.84961,24119.84961,24120.15039,24114.25,24115.55078,0
2026-06-22 12:30:00+05:30,24123,24123,24126.25,24118.40039,24119.65039,0
2026-06-22 12:31:00+05:30,24117.09961,24117.09961,24123.84961,24117.09961,24122.90039,0
2026-06-22 12:32:00+05:30,24113.75,24113.75,24118.55078,24109.80078,24117.09961,0
2026-06-22 12:33:00+05:30,24121.94922,24121.94922,24122.44922,24113.84961,24113.94922,0
2026-06-22 12:34:00+05:30,24122.75,24122.75,24125.09961,24120.84961,24121.94922,0
